,logFC,logCPM,F,PValue,FDR
WBGene00000001,0.184842222,2.895182041,1.209467066,0.286594551,0.555208257
WBGene00000002,0.122570284,4.384498714,2.263228698,0.150621105,0.389156549
WBGene00000003,0.135689011,5.557592197,3.049463884,0.098599858,0.302158838
WBGene00000004,-0.127847199,5.894614127,3.184644723,0.091984275,0.289601589
WBGene00000005,-0.563725007,0.655162586,6.439025143,0.021119756,0.108810559
WBGene00000006,-0.103713701,6.604044196,1.283696002,0.272762032,0.540532227
WBGene00000007,-0.684555138,4.653149235,27.72684199,6.08E-05,0.001143785
WBGene00000008,-2.79676265,1.133676109,64.7609075,3.11E-07,1.56E-05
WBGene00000009,-0.300222417,2.172897222,3.091280415,0.096494935,0.297935284
WBGene00000010,-0.072272497,3.102488795,0.365581146,0.553317223,0.772660744
WBGene00000013,0.381620556,0.808670405,0.630364507,0.438040374,0.690179985
WBGene00000016,0.470456905,4.537784199,22.15035705,0.000197505,0.002981509
WBGene00000017,0.514025225,6.132588949,30.17877788,3.80E-05,0.000784201
WBGene00000018,-0.019684651,6.098518823,0.076297015,0.785671719,0.904410806
WBGene00000020,-0.020221568,6.823383512,0.119492075,0.733778408,0.877241106
WBGene00000022,-0.319166643,5.907512263,12.00971859,0.002915707,0.024768132
WBGene00000023,-0.416279849,1.129704352,2.208738581,0.155333111,0.395413218
WBGene00000024,-0.159382176,0.118148616,0.029038001,0.866679988,0.942795855
WBGene00000030,0.529722816,1.172631644,0.319057023,0.579469044,0.790125644
WBGene00000031,0.950372207,4.434080643,0.995108398,0.332326768,0.599897897
WBGene00000033,0.733145327,3.434388276,0.566471969,0.461843006,0.707583132
WBGene00000034,0.974639728,2.981435626,1.030430627,0.324126772,0.592315928
WBGene00000035,-0.412427367,4.917905127,13.11887066,0.002072944,0.019331467
WBGene00000036,0.07608407,6.675953204,0.583013369,0.455481631,0.702665509
WBGene00000037,-0.279038771,5.491260659,8.568716666,0.009319097,0.060507325
WBGene00000038,-0.287801571,2.997239402,4.916718691,0.040347417,0.168797567
WBGene00000039,0.890989274,1.654215643,1.328790518,0.264791929,0.533726978
WBGene00000040,-0.941995536,9.528546334,58.98295773,5.87E-07,2.67E-05
WBGene00000041,0.025542353,11.15072337,0.122228694,0.73087434,0.875357928
WBGene00000042,0.199309445,2.682299577,1.45416695,0.244189644,0.510289022
WBGene00000043,-0.531046988,1.370187462,7.398523852,0.014446714,0.08344431
WBGene00000044,-0.157214356,2.598709643,1.229836366,0.282706654,0.550572174
WBGene00000045,-0.577046848,-0.263266279,2.562775235,0.127614421,0.352869335
WBGene00000046,0.100116903,1.847516458,0.403656803,0.533569952,0.759371802
WBGene00000047,-0.265281428,3.153892384,6.468589762,0.020867819,0.107808818
WBGene00000048,-0.190760267,1.511932386,1.025018051,0.32536474,0.593852118
WBGene00000049,-0.151163973,1.084704655,0.681261989,0.420454991,0.675075752
WBGene00000050,-0.385907881,1.643726849,4.237553461,0.055018647,0.206731711
WBGene00000051,0.087666669,3.295565998,0.136425856,0.716368873,0.867303067
WBGene00000053,-0.031493933,0.626122806,0.018036897,0.894723363,0.956148586
WBGene00000054,-0.11009013,3.1597652,0.763017424,0.394419804,0.65373299
WBGene00000055,-0.061213427,3.123385856,0.186161774,0.671490676,0.845186654
WBGene00000056,-0.096052968,1.707669905,0.218165625,0.646304364,0.831963301
WBGene00000057,0.012976503,2.744402972,0.010619339,0.919115274,0.967307084
WBGene00000058,-0.098628718,4.396667011,0.695920719,0.415595494,0.671364386
WBGene00000059,0.005469206,3.498124474,0.003003016,0.956929568,0.983875121
WBGene00000060,0.118633817,3.067649483,0.788257326,0.386876443,0.647788956
WBGene00000061,-0.041337309,3.260174886,0.09995596,0.755687426,0.889084548
WBGene00000062,0.181351458,1.73719302,0.865557144,0.365064681,0.628120059
WBGene00000063,0.248761107,9.54434278,6.518939713,0.020446593,0.106846333
WBGene00000064,0.023769127,7.12905458,0.038452679,0.846835374,0.932761135
WBGene00000065,0.170146532,8.351052188,3.789616804,0.068094652,0.237675263
WBGene00000066,0.389379755,10.73996689,10.57376501,0.004638618,0.035473803
WBGene00000067,0.279295881,8.699270752,14.78758251,0.001272835,0.013299153
WBGene00000068,0.072080464,6.89515514,1.939603531,0.181456532,0.431234512
WBGene00000069,0.067097364,4.698867186,0.43048946,0.520431467,0.750158426
WBGene00000070,-0.346425426,5.977478231,26.23010751,8.21E-05,0.001466709
WBGene00000071,-0.15092472,4.194777988,1.501749916,0.236920725,0.501578111
WBGene00000072,0.10667376,4.509797563,1.78471919,0.198981467,0.45569523
WBGene00000073,0.171898136,4.309280818,2.711147292,0.117799383,0.335854548
WBGene00000074,-0.000712351,4.823307679,1.95E-05,0.996524572,0.999075344
WBGene00000075,0.221857533,3.830650964,5.457390082,0.031836999,0.144497897
WBGene00000079,-0.037796758,6.553726629,0.295389276,0.593763328,0.798516904
WBGene00000080,0.019123865,5.206840162,0.094159309,0.762638887,0.892698284
WBGene00000081,-0.566066694,8.047837266,64.98356216,3.03E-07,1.54E-05
WBGene00000082,0.445350981,2.814789438,2.241495198,0.152479238,0.391947185
WBGene00000083,-0.063541382,7.298059738,0.499920295,0.489005812,0.72773385
WBGene00000084,-0.137404494,3.937547336,1.344682929,0.262056803,0.530790405
WBGene00000085,-0.000414866,3.385107996,1.50E-05,0.996949703,0.999114143
WBGene00000086,-0.081837339,6.257115982,1.263260511,0.27647921,0.544149363
WBGene00000088,-0.316388698,4.565585724,12.5690556,0.00245047,0.021826802
WBGene00000089,0.033889485,4.499630204,0.070446349,0.793843363,0.90884453
WBGene00000090,0.220338335,5.508687923,11.71998716,0.003195207,0.026566233
WBGene00000092,-0.199458563,3.870533043,2.753658274,0.115155985,0.331670981
WBGene00000093,-0.037196729,2.228428979,0.057139483,0.813900994,0.917702868
WBGene00000094,0.179870638,2.029715211,1.234352316,0.281854327,0.549600768
WBGene00000095,-0.073995485,5.51195443,0.884402832,0.360021263,0.62319973
WBGene00000096,-0.329999114,2.735125809,3.658694028,0.072578347,0.24800882
WBGene00000097,-0.102510193,4.658483788,0.505878486,0.486464365,0.725993246
WBGene00000098,-0.1420637,3.607130512,1.553573457,0.229319814,0.491976721
WBGene00000099,-0.018697092,3.079406511,0.018114537,0.894498461,0.95611976
WBGene00000100,0.133248272,8.992166108,2.258290185,0.151040887,0.389689254
WBGene00000101,-0.030443853,6.925672998,0.199086285,0.661026246,0.839431507
WBGene00000102,0.922219718,7.558666443,140.923437,1.04E-09,1.49E-07
WBGene00000103,0.378235899,6.133550425,24.71119025,0.000112621,0.001908891
WBGene00000105,-0.050052766,8.695579297,0.335570146,0.569908334,0.784490081
WBGene00000106,-0.017969485,6.114863411,0.043634731,0.836988863,0.927762569
WBGene00000107,0.381327045,10.54630586,7.941166165,0.011751838,0.071020698
WBGene00000108,0.186845353,2.071572679,0.069073188,0.795813644,0.909935381
WBGene00000109,-0.410136634,7.087280379,10.89845886,0.004166357,0.032707937
WBGene00000110,0.293482533,7.506532092,14.81683838,0.001262318,0.013227415
WBGene00000111,0.074210983,6.118954474,0.651089465,0.430741865,0.684622767
WBGene00000112,-0.080773689,6.347812663,1.680700517,0.211958469,0.472351551
WBGene00000113,-0.303038238,5.960070273,4.920556724,0.040278425,0.168654994
WBGene00000114,0.210159406,11.346606,3.141782793,0.094023344,0.29385083
WBGene00000115,0.638569751,6.410951046,25.97146599,8.66E-05,0.00153149
WBGene00000116,-0.182956972,3.700847582,1.760312595,0.201933984,0.459552025
WBGene00000117,0.112996954,6.186706219,2.707543469,0.118026801,0.336106189
WBGene00000118,0.255124552,7.898763567,11.0081658,0.00401922,0.031811322
WBGene00000120,0.213128124,5.077919423,1.126487935,0.303204079,0.571024498
WBGene00000121,0.07831903,4.337314586,0.232424325,0.635810441,0.82559798
WBGene00000122,0.05970907,7.6102574,0.740937198,0.401202588,0.659662922
WBGene00000123,0.183659432,7.627023299,0.767277046,0.393131294,0.653257761
WBGene00000133,-0.397278482,3.307640932,3.144402574,0.093897189,0.293640518
WBGene00000134,-0.001167988,2.977653755,8.93E-05,0.992569195,0.998078877
WBGene00000135,-0.261098079,4.496298591,8.15384255,0.01085483,0.067250884
WBGene00000136,0.257484645,4.736940594,3.169964357,0.09267672,0.290959928
WBGene00000137,0.013503507,4.81453295,0.019523023,0.89050074,0.953874285
WBGene00000138,-0.578686887,4.863451507,24.40514252,0.000120208,0.002018606
WBGene00000139,0.183270431,2.65552595,1.12165812,0.304210876,0.571805968
WBGene00000140,0.056292753,7.688425644,0.104174745,0.750767134,0.88643615
WBGene00000142,0.061603036,4.793403933,0.680012434,0.420873323,0.675132336
WBGene00000143,0.141689313,4.065012651,1.888476785,0.187019509,0.439410948
WBGene00000144,-0.025379079,0.573776286,0.010736356,0.940067832,0.977661923
WBGene00000145,0.059070598,3.315998688,0.316358466,0.581062662,0.791127406
WBGene00000146,0.113708039,7.218143778,3.566100963,0.075958394,0.256085688
WBGene00000147,0.488990855,4.073650735,33.05815004,2.25E-05,0.000521965
WBGene00000148,0.144108533,4.323989373,3.097013457,0.096210521,0.297542225
WBGene00000149,0.091548496,9.617346678,1.3265106,0.265187406,0.533763317
WBGene00000150,0.040593071,6.106498414,0.394831934,0.538026627,0.762673506
WBGene00000151,-0.016888687,5.349705831,0.038461625,0.846817797,0.932761135
WBGene00000155,-0.374884326,5.506633293,31.08736509,3.21E-05,0.000687931
WBGene00000156,0.142908037,6.364801748,4.094996044,0.058834798,0.215856681
WBGene00000157,-0.034117942,3.592483748,0.099292072,0.7564721,0.889221584
WBGene00000158,0.052023263,6.273407103,0.678764692,0.421291697,0.675371602
WBGene00000159,-0.053166893,4.433820886,0.332397376,0.571720395,0.785888992
WBGene00000160,0.023142241,6.632245647,0.080686652,0.779760633,0.901355276
WBGene00000161,0.009854062,7.240547494,0.020924021,0.886667807,0.952144301
WBGene00000162,0.002364404,5.566912266,0.001120348,0.973683933,0.991123661
WBGene00000163,0.001893568,6.627139406,0.000969955,0.975513209,0.991840774
WBGene00000164,-0.370203991,3.789700213,17.31740115,0.000639526,0.007656285
WBGene00000165,-0.005951756,3.876785513,0.000378528,0.984701451,0.995056882
WBGene00000166,-0.093159292,4.126387338,0.956863152,0.341539202,0.607098212
WBGene00000168,0.396187479,1.728577534,2.256999816,0.151150807,0.389903434
WBGene00000169,-0.431334087,9.272379016,9.263631425,0.007265558,0.049736643
WBGene00000170,0.29568775,8.671781001,17.12573201,0.000672442,0.007973488
WBGene00000172,-0.511032015,4.077104004,14.20981711,0.001502066,0.014950511
WBGene00000173,-0.003044343,2.127652379,0.000346165,0.985369961,0.995312587
WBGene00000174,0.312793443,2.968983981,5.753324269,0.028060334,0.132757545
WBGene00000175,-0.792970463,8.743010149,172.8284168,2.11E-10,5.03E-08
WBGene00000176,-1.157576737,4.83139153,82.99424264,5.41E-08,3.88E-06
WBGene00000177,-0.364904643,3.227480838,8.793080778,0.008591878,0.056751823
WBGene00000178,0.037480808,5.75971774,0.184347066,0.67299446,0.845709793
WBGene00000179,-0.281829992,4.262100816,8.152834992,0.010858892,0.067250884
WBGene00000180,-0.02550736,5.756155748,0.154503314,0.699098218,0.85781798
WBGene00000181,0.107084749,5.927533174,1.635220058,0.217969866,0.478608985
WBGene00000182,-0.006720814,8.301498534,0.017929844,0.895034271,0.956410312
WBGene00000183,0.105092108,7.480978727,4.175284343,0.056649085,0.210989089
WBGene00000184,0.027141386,4.306644043,0.057470538,0.813373448,0.917490785
WBGene00000185,-0.199817622,-0.396844002,0.139372526,0.713467533,0.865410097
WBGene00000186,-0.205083628,6.093801019,14.87336632,0.001242273,0.013055123
WBGene00000187,-0.042269046,5.042317704,0.212207488,0.650814379,0.834949752
WBGene00000188,-0.075241464,4.490384302,0.50138611,0.488378452,0.727173588
WBGene00000189,-0.070134738,2.922128736,0.339039924,0.567939818,0.782970305
WBGene00000190,-0.774979432,1.256510814,3.697435602,0.071216559,0.244856552
WBGene00000192,0.028981368,6.507733412,0.159687041,0.694364035,0.854728922
WBGene00000193,0.042125859,2.23926873,0.051339206,0.823420407,0.92097002
WBGene00000195,-0.282935645,4.615914931,11.63153366,0.003286449,0.027122558
WBGene00000196,-0.017428311,5.011574786,0.076148601,0.785874748,0.904410806
WBGene00000197,0.195736282,7.72941092,0.788978119,0.386664213,0.647691783
WBGene00000198,0.594259843,7.121148743,36.20701273,1.32E-05,0.000341537
WBGene00000199,0.05520537,6.219507501,0.58843855,0.453426564,0.701696527
WBGene00000200,0.14787053,6.393447167,5.440531127,0.032069088,0.145165023
WBGene00000201,0.064572705,5.762555877,0.70670697,0.412075228,0.668359732
WBGene00000202,-0.339800487,4.330784935,3.940836598,0.063312367,0.226045074
WBGene00000203,0.053103571,4.269030534,0.53495628,0.47437946,0.717233671
WBGene00000204,0.130297192,5.282793559,3.035138666,0.099333439,0.303482703
WBGene00000205,0.250856932,4.124445311,5.283192419,0.034331183,0.152084693
WBGene00000206,-0.027830574,4.216237639,0.084621761,0.774608215,0.898531108
WBGene00000207,-0.068487056,9.902599561,0.485404201,0.495294828,0.731962767
WBGene00000208,0.316682851,5.081369716,5.012338964,0.038668283,0.164395675
WBGene00000209,-0.228800527,5.616958158,8.000916272,0.011491628,0.070002802
WBGene00000210,-0.09971018,7.018395892,0.561766965,0.463679278,0.709302014
WBGene00000211,-0.263518001,2.837861465,2.167829141,0.15898983,0.39994456
WBGene00000212,0.26450322,4.853164125,0.835894218,0.373214664,0.635535063
WBGene00000213,-0.795478271,0.252258668,3.031967554,0.099496703,0.303725255
WBGene00000214,-1.038070697,12.15326879,62.66111299,3.89E-07,1.89E-05
WBGene00000215,-0.287754124,8.78688246,9.392169821,0.00694461,0.048115239
WBGene00000216,0.472348594,10.40824206,15.53261287,0.001033057,0.011290399
WBGene00000217,0.625216311,7.774124564,61.31786906,4.51E-07,2.15E-05
WBGene00000218,-0.124659481,10.15665228,1.029176415,0.324413048,0.592634139
WBGene00000219,0.147270719,11.51178915,1.477872119,0.240532679,0.506288973
WBGene00000220,0.881813856,2.421661884,2.062147266,0.168938043,0.414988882
WBGene00000221,0.076885662,7.061080737,0.916169482,0.351745952,0.615622889
WBGene00000222,0.13401075,5.53590865,3.400724702,0.082465986,0.270532775
WBGene00000223,-0.131729919,8.769039865,2.921762306,0.105373851,0.314407628
WBGene00000224,-0.040625505,7.289036098,0.487548567,0.494356962,0.731714951
WBGene00000225,0.162739158,6.290632786,3.800984071,0.067720854,0.236884051
WBGene00000226,0.085368956,6.858018444,1.602769787,0.222392622,0.483357438
WBGene00000227,0.179528114,5.42768469,3.669070227,0.072210654,0.247160552
WBGene00000228,-0.076567533,7.895776626,1.259432464,0.277183047,0.54445517
WBGene00000229,-0.069554309,12.18020651,0.387308532,0.541881789,0.764885276
WBGene00000230,0.075593903,9.979278418,0.602032785,0.44834303,0.698043317
WBGene00000231,0.049473874,7.185584003,0.318892285,0.579566071,0.790125644
WBGene00000232,-0.162429093,4.678261576,3.050170973,0.098563816,0.302112271
WBGene00000233,0.001754899,6.340630623,0.000418543,0.983913244,0.99482807
WBGene00000235,0.105986299,5.589842324,0.358663091,0.557056788,0.775193679
WBGene00000236,-0.032115164,3.828515921,0.131998247,0.720796504,0.870191848
WBGene00000237,0.213417294,6.341749552,7.03341983,0.01665418,0.092295365
WBGene00000238,-0.150122123,4.475637861,3.118656698,0.095145718,0.295954441
WBGene00000239,-0.226631406,5.060290379,4.169819781,0.056794824,0.21126042
WBGene00000240,-0.182690119,5.114165859,2.966922777,0.102916885,0.310141712
WBGene00000241,0.033595721,3.247157078,0.087826402,0.770507847,0.896234149
WBGene00000242,-0.21835561,3.123098544,2.277190302,0.14944203,0.387773303
WBGene00000244,-0.20898613,4.249067186,5.025043619,0.038451289,0.163925687
WBGene00000245,-0.418564688,5.82953054,15.07172855,0.001174704,0.012489954
WBGene00000246,-0.086338228,2.941688411,0.218046604,0.646393713,0.832004413
WBGene00000247,0.078300698,3.801523456,0.179397803,0.677141124,0.847933049
WBGene00000248,0.076302861,6.254438691,0.799906425,0.383467709,0.644612282
WBGene00000249,0.099210444,4.645496493,2.491800332,0.132656656,0.360920859
WBGene00000250,0.670064297,1.821686391,7.571516087,0.013518112,0.079057495
WBGene00000251,-0.7019771,0.510309356,2.411075267,0.138687589,0.369802457
WBGene00000253,-0.247344055,5.993328392,9.896586032,0.005830795,0.041997951
WBGene00000254,-0.01010529,8.042648021,0.017054691,0.897612244,0.957400209
WBGene00000257,-0.226463767,5.230954343,2.392493559,0.140122555,0.371642766
WBGene00000259,0.22069251,5.837009257,10.69603129,0.004454048,0.03438895
WBGene00000262,0.041704253,3.799547671,0.213980857,0.64946401,0.834178183
WBGene00000263,-0.078028877,8.236845764,0.646566456,0.432318111,0.68584062
WBGene00000264,-0.176182856,2.239025779,1.336908329,0.263390135,0.532586834
WBGene00000265,0.053119183,2.189138559,0.074436987,0.788231829,0.906160215
WBGene00000266,0.149564323,5.833937084,5.861537349,0.026809314,0.128752334
WBGene00000267,-0.10498147,2.820889313,0.619424365,0.441973061,0.692814884
WBGene00000268,0.036019859,5.9450063,0.373302148,0.549200802,0.770202115
WBGene00000269,-0.120784426,3.347583404,1.616986711,0.220440942,0.481844666
WBGene00000270,0.251284444,2.735083531,6.128977645,0.023981541,0.118898562
WBGene00000271,0.020719269,5.66208035,0.092074117,0.765196893,0.893883368
WBGene00000272,0.496515805,0.140805013,1.792896954,0.198004379,0.453959732
WBGene00000273,0.445850456,9.122740586,33.5524758,2.07E-05,0.000484989
WBGene00000274,-0.139380362,5.200386813,2.936422115,0.104568705,0.313036497
WBGene00000275,-0.043165034,5.56650234,0.102246347,0.753002229,0.887651344
WBGene00000276,-0.371108269,8.185053154,31.08070839,3.21E-05,0.000687931
WBGene00000277,-0.14348211,10.2137525,3.428353452,0.081334542,0.268258306
WBGene00000279,0.104987955,3.784997054,0.891785622,0.358073094,0.621162949
WBGene00000280,-0.123303994,3.608784674,1.993361239,0.175827876,0.424142739
WBGene00000281,0.015080439,6.739871422,0.074196296,0.788565623,0.906362847
WBGene00000282,-0.323611647,8.223817579,15.40577454,0.001070029,0.011624331
WBGene00000283,-0.416554641,5.28938733,17.20601525,0.000658429,0.007821271
WBGene00000284,0.022967176,6.195409837,0.090554029,0.76708175,0.894908125
WBGene00000285,-0.251231,5.029403715,5.572442385,0.030303513,0.140163077
WBGene00000286,-0.000360031,6.226053761,1.24E-05,0.997227199,0.999114143
WBGene00000287,-0.216243813,2.785733535,2.519210525,0.130681349,0.357492817
WBGene00000288,-0.096719796,6.241112032,0.958120758,0.341230544,0.606911272
WBGene00000289,-0.032503115,7.3695868,0.22997632,0.637583202,0.826684778
WBGene00000292,0.023365168,6.613205928,0.164045834,0.690452199,0.853049883
WBGene00000293,0.045740005,7.300537441,0.534063077,0.474743062,0.717411517
WBGene00000294,-0.133716109,7.076832862,2.764186899,0.114512311,0.330580968
WBGene00000295,0.055678868,3.840122088,0.27614612,0.605948273,0.805461285
WBGene00000296,-0.066725384,2.953468721,0.237850683,0.631921834,0.822849237
WBGene00000298,0.362341132,5.023186856,6.501713674,0.020589607,0.106986224
WBGene00000301,0.001614861,5.363099093,9.60E-05,0.99229577,0.997942422
WBGene00000302,0.022003185,2.917742949,0.015393738,0.902697278,0.959504838
WBGene00000366,-0.003355425,9.671141179,0.002478201,0.960870086,0.985417118
WBGene00000367,0.174360122,7.077117117,4.884811201,0.040926282,0.170285293
WBGene00000368,-0.119863926,5.91910277,4.066920754,0.059622102,0.21753361
WBGene00000369,0.06946337,6.371904042,0.962258042,0.340217915,0.605928232
WBGene00000370,0.438065768,7.705358086,57.34800478,7.10E-07,3.07E-05
WBGene00000371,0.050879979,8.094610599,0.241900827,0.629055373,0.820546397
WBGene00000372,-1.447106546,0.499461819,18.41284947,0.000482777,0.006073268
WBGene00000373,1.359732364,4.631644728,27.82972861,5.96E-05,0.001126683
WBGene00000375,0.001481195,3.26187324,0.000100686,0.992109452,0.997942422
WBGene00000376,-0.013039489,7.25645687,0.061688514,0.806788371,0.914507397
WBGene00000377,-0.137284516,8.551722717,2.526174777,0.130185145,0.356845682
WBGene00000378,-0.078350793,8.465755977,1.614388581,0.220795966,0.481867312
WBGene00000379,-0.11541757,8.589163267,2.156154526,0.160052702,0.401906382
WBGene00000380,-0.147500654,8.755898284,3.914088067,0.064129046,0.228119327
WBGene00000381,-0.079472878,7.918980239,0.669506664,0.424416407,0.678729041
WBGene00000382,0.187357987,4.4107391,2.816980918,0.111348865,0.324801721
WBGene00000383,-0.051166708,7.905764138,0.838848728,0.372390984,0.635090783
WBGene00000386,-0.182635071,4.423419234,2.676963607,0.119977867,0.339063817
WBGene00000387,-0.207678302,4.252286077,2.58506211,0.126079017,0.350026267
WBGene00000388,0.609059114,0.081106209,0.934860595,0.347004402,0.611477114
WBGene00000390,0.078974003,7.687697753,1.417602235,0.249973924,0.516539916
WBGene00000391,-0.191452155,3.371108921,1.516192101,0.23477017,0.499556141
WBGene00000392,0.037415076,2.865395331,0.052293478,0.821816587,0.919886149
WBGene00000393,0.18696531,5.664455196,6.096475514,0.024306347,0.119934486
WBGene00000395,-0.479077044,4.793679941,5.516664214,0.031036137,0.14206434
WBGene00000396,-0.026137828,8.240293872,0.068381736,0.796813733,0.909961076
WBGene00000397,0.570640065,2.441642642,2.102625739,0.165039442,0.409403376
WBGene00000399,0.510092595,0.117734378,1.873811424,0.188654417,0.441432939
WBGene00000401,0.28778504,2.292322679,3.295110931,0.086965255,0.279136318
WBGene00000402,0.739187849,-0.256438501,2.033119181,0.171804053,0.41957943
WBGene00000403,-0.096055116,9.152827949,1.478470899,0.240441231,0.506170006
WBGene00000405,0.149474968,4.622039005,0.608412536,0.445989197,0.695408488
WBGene00000406,0.109518532,3.294924009,0.679642691,0.420997232,0.675132336
WBGene00000407,-0.08521156,4.169238418,0.808061974,0.38110785,0.642061726
WBGene00000408,0.026221802,2.797486792,0.040530565,0.842808719,0.930518357
WBGene00000409,0.08249799,3.959315629,0.622451884,0.440879095,0.69214818
WBGene00000410,0.114446151,4.009504651,1.437664459,0.24677833,0.512438969
WBGene00000411,-0.073424272,5.842983724,0.313407285,0.58281584,0.791803426
WBGene00000412,-0.138919003,0.546221505,0.230227904,0.637400476,0.826684778
WBGene00000413,0.119512983,3.747725374,0.739762694,0.401568337,0.66003497
WBGene00000414,0.135370844,6.660125688,3.539923346,0.076947199,0.258488364
WBGene00000415,-0.077499734,6.42116562,0.727584281,0.405390981,0.663030186
WBGene00000416,-0.105066455,4.007535981,1.291461404,0.271367018,0.539462451
WBGene00000417,-0.03235195,2.572746937,0.040701831,0.842481679,0.930228151
WBGene00000418,0.064038973,4.051702169,0.687381144,0.418415733,0.673517806
WBGene00000419,0.088733832,6.491038758,1.484910285,0.23946064,0.505061657
WBGene00000420,-0.422035442,5.335157716,37.9790195,9.90E-06,0.000264741
WBGene00000421,0.109345447,7.705629551,1.20655221,0.2871568,0.555604318
WBGene00000423,-0.01486767,4.767102934,0.032013094,0.860089868,0.939798789
WBGene00000424,-0.043259134,5.818234305,0.179702355,0.67688401,0.84789243
WBGene00000425,0.142842222,4.309971625,0.622619977,0.440818484,0.692128004
WBGene00000426,-0.08751311,5.308891555,1.266631243,0.275861435,0.543694264
WBGene00000428,0.064899734,0.465244786,0.058960479,0.81101891,0.916731872
WBGene00000429,0.133581536,1.753541749,0.609770621,0.44549071,0.695320556
WBGene00000431,-0.063963301,3.928352046,0.327254547,0.574682473,0.787545948
WBGene00000433,-0.11769179,0.634037495,0.149130824,0.704103219,0.859831493
WBGene00000434,-0.30979724,0.75567655,0.849080108,0.369559178,0.632259016
WBGene00000435,0.049164405,2.187699731,0.107830317,0.746592358,0.883835714
WBGene00000437,-0.249976682,5.228773957,7.942378087,0.011746494,0.07101802
WBGene00000438,-0.215068336,4.023436802,1.694101216,0.210227606,0.470195065
WBGene00000439,0.020027701,2.142639343,0.017277742,0.896948918,0.957044892
WBGene00000440,-0.069704757,1.755702184,0.151306048,0.702064397,0.859127755
WBGene00000441,-0.233882578,6.492002642,12.67602354,0.002371345,0.021306054
WBGene00000442,-0.281016658,0.83625051,1.315002257,0.267195658,0.535798649
WBGene00000443,0.018758429,5.95462622,0.054742267,0.817770324,0.919065458
WBGene00000444,-0.125988053,4.188210539,1.53711131,0.231699707,0.495395715
WBGene00000445,-0.090696261,3.954850582,0.418094194,0.526425675,0.754744844
WBGene00000446,-0.090688549,3.93803147,0.122956645,0.730108033,0.875258103
WBGene00000447,-0.031371652,2.333658766,0.037679099,0.848363314,0.933684547
WBGene00000448,-0.150488254,5.637586543,3.522422113,0.077616692,0.260074244
WBGene00000449,0.156911404,4.230028946,2.17143305,0.158663478,0.399367081
WBGene00000451,0.137246238,0.804447365,0.403427599,0.533684828,0.759442313
WBGene00000452,0.006598243,2.968173682,0.002940787,0.957377692,0.984015498
WBGene00000453,-0.119775596,6.38369656,1.769492757,0.200816994,0.458161189
WBGene00000454,0.008550097,2.757564589,0.005148922,0.943623986,0.978883236
WBGene00000455,-0.177180822,3.526695734,3.054246153,0.098356395,0.301604079
WBGene00000457,0.003014508,1.447622054,0.000225858,0.988182361,0.996461849
WBGene00000458,0.334406008,5.239592136,8.985419483,0.008019224,0.053902871
WBGene00000459,0.018440486,7.259658179,0.101183315,0.75424432,0.888081629
WBGene00000460,0.376723529,4.563992834,7.656814389,0.01308528,0.077054804
WBGene00000461,0.731382224,-0.042943887,5.633923597,0.029518811,0.137684779
WBGene00000462,0.129583497,4.052515039,1.43532823,0.247147697,0.512714491
WBGene00000463,-0.066923727,3.45326879,0.306163333,0.587166026,0.794401951
WBGene00000464,-0.068478996,6.931145424,0.940648996,0.345554584,0.610300182
WBGene00000465,1.007376127,3.796991764,31.77486497,2.83E-05,0.000625842
WBGene00000466,-0.067445443,5.067981466,0.683235467,0.419795623,0.67457282
WBGene00000467,0.291310209,2.665819483,2.627198999,0.123236425,0.345237605
WBGene00000469,0.735399376,0.222750805,3.367823636,0.083837574,0.273642819
WBGene00000472,0.049697735,9.993730158,0.297756411,0.592300495,0.797540939
WBGene00000473,0.601019229,3.312370811,3.798126555,0.067814594,0.236926012
WBGene00000474,0.155293657,1.917486597,0.318803533,0.579618358,0.790125644
WBGene00000475,-0.004575143,7.992016246,0.00158992,0.968652976,0.988938506
WBGene00000476,-0.20222903,5.324743996,4.990514656,0.039044335,0.165350817
WBGene00000477,-0.287693503,3.994623302,5.154440767,0.03631909,0.157702394
WBGene00000478,-0.070894727,5.495219495,0.764363844,0.394011831,0.653532391
WBGene00000479,0.224941324,6.439108343,7.797665759,0.012404482,0.074200525
WBGene00000480,0.185697491,5.982567909,0.822142768,0.377083993,0.638623493
WBGene00000481,-0.024631582,5.781343782,0.062542714,0.805484259,0.913815397
WBGene00000482,0.038895428,7.620836559,0.290536744,0.596786193,0.800308037
WBGene00000484,-0.115390911,3.213415961,1.004619408,0.33009038,0.598183042
WBGene00000485,-0.109554513,6.130757287,1.589282144,0.224264711,0.485774605
WBGene00000487,-0.122017429,1.348268265,0.285810039,0.59976245,0.801714586
WBGene00000488,0.262920515,3.707534779,7.273504359,0.015162891,0.086308174
WBGene00000490,-0.107922301,5.185173114,1.700106649,0.209457762,0.469304559
WBGene00000491,-0.067975366,4.78522973,0.821726216,0.377202125,0.638674283
WBGene00000492,-0.179252834,2.874988315,2.424131113,0.137690013,0.36842756
WBGene00000493,0.07327502,0.881210443,0.064175266,0.803017985,0.91251545
WBGene00000496,-0.007734557,2.288603621,0.001583697,0.968714358,0.988938506
WBGene00000497,0.928440025,3.495976526,2.0944746,0.1658155,0.410641099
WBGene00000498,-0.218114766,3.766157029,2.93334879,0.10473689,0.313345791
WBGene00000499,-0.020508758,1.069073647,0.006909867,0.934711557,0.975027011
