,logFC,logCPM,F,PValue,FDR
WBGene00014203,-0.029589475,1.863348615,0.016654385,0.898813877,0.957944752
WBGene00014204,0.106296077,8.267780668,2.920055808,0.105468054,0.314564121
WBGene00014205,-0.002654976,2.793307625,0.000312097,0.986108422,0.995442453
WBGene00014206,0.582972498,2.96797088,6.719231555,0.018864098,0.100914917
WBGene00014207,0.33650764,5.537085844,32.24572444,2.60E-05,0.000581344
WBGene00014208,0.00988945,6.692168197,0.012106214,0.913660742,0.965187898
WBGene00014209,-0.13938513,3.803623735,2.57735517,0.126607438,0.351089743
WBGene00014210,0.009983539,4.181680059,0.010096991,0.921122396,0.967798126
WBGene00014213,0.426769583,6.599172279,17.96403134,0.000541102,0.006673746
WBGene00014214,-0.053779592,3.419879113,0.169689433,0.685476765,0.851248636
WBGene00014215,-0.075422112,5.827581092,1.207663381,0.286942289,0.555450594
WBGene00014218,0.062125198,6.114733455,0.909452741,0.353472612,0.617171697
WBGene00014219,0.025645814,4.837593416,0.109064016,0.745201245,0.882744788
WBGene00014220,0.178051894,3.352973574,1.932855057,0.182178875,0.432596471
WBGene00014221,0.135184276,4.016494084,2.997853817,0.101273342,0.306842034
WBGene00014222,0.272890666,3.077692236,3.964821785,0.06259034,0.224242079
WBGene00014223,0.230365489,0.391128955,0.610611598,0.445182479,0.695320556
WBGene00014224,-0.157765433,3.205049225,1.411483362,0.250959332,0.517487569
WBGene00014226,0.072051195,2.799022132,0.139354328,0.713485343,0.865410097
WBGene00014227,0.049481879,4.100141169,0.443180057,0.532487111,0.758706441
WBGene00014228,0.195600169,3.678710219,4.393662898,0.051164631,0.196730653
WBGene00014230,0.198148654,3.157779327,1.163247257,0.295688769,0.563867634
WBGene00014232,0.030448419,5.865307113,0.170171764,0.685056081,0.85118133
WBGene00014233,-0.031076134,4.354581527,0.081015465,0.779324947,0.901139164
WBGene00014234,0.2083999,3.432317045,4.831770726,0.041909826,0.1729377
WBGene00014243,0.051538402,6.557620477,0.695925067,0.415594066,0.671364386
WBGene00014244,-0.483027278,4.690573075,14.80769608,0.001265594,0.013242592
WBGene00014245,-1.072203854,1.253794016,10.49382975,0.00476394,0.036148731
WBGene00014248,0.147891325,3.185879429,1.290641987,0.271513773,0.539532226
WBGene00014249,0.047498708,6.464539559,0.702560749,0.413422932,0.669795989
WBGene00014250,-0.003998233,4.851917248,0.003227047,0.955353653,0.983429806
WBGene00014251,1.040880621,2.971928482,47.05480657,2.60E-06,8.85E-05
WBGene00014252,0.362963825,5.636499434,11.57339291,0.003348017,0.02755222
WBGene00014253,0.21108971,5.05259968,2.421832783,0.137864992,0.368555518
WBGene00014254,-0.169764836,1.669363176,0.150948272,0.702398566,0.859218369
WBGene00014255,0.101832011,2.105862211,0.29477667,0.594143152,0.798741405
WBGene00014256,-0.043972735,3.749596449,0.230594689,0.6371343,0.826684778
WBGene00014258,0.532010654,7.532515384,13.39519275,0.001908214,0.018155197
WBGene00014259,0.222683448,4.867703872,4.546506216,0.047690783,0.188113088
WBGene00014261,-0.326904043,5.764586093,7.5528944,0.013614748,0.079494332
WBGene00014262,0.040072324,6.412729081,0.37348109,0.549106101,0.770202115
WBGene00014300,0.433376601,4.239319839,12.02770367,0.002899286,0.024675099
WBGene00014569,0.001631745,2.02836063,6.64E-05,0.993590799,0.998413386
WBGene00014666,-0.926791779,6.092464058,59.75615605,5.38E-07,2.45E-05
WBGene00014668,-0.19704188,1.209059549,0.770337011,0.39220959,0.652663455
WBGene00014669,0.133383143,5.057092728,1.675965613,0.212574372,0.473084569
WBGene00014697,0.844607091,4.018738307,30.83324687,3.36E-05,0.000712523
WBGene00014698,0.560607063,1.589867002,5.973705038,0.025579351,0.124269514
WBGene00014761,-1.598487921,1.820675982,45.21260875,3.36E-06,0.000109612
WBGene00014801,-0.366346597,3.794851403,14.17107753,0.00151902,0.015077836
WBGene00014813,-0.685656418,-0.04239396,4.672162516,0.045037851,0.18099433
WBGene00014826,0.774480057,6.153031489,70.90289344,1.65E-07,9.48E-06
WBGene00014848,-0.046229934,5.887477288,0.275235228,0.606538491,0.805752664
WBGene00014864,0.008013468,2.309744655,0.002468392,0.96094754,0.985426815
WBGene00014871,-0.08175355,1.333599141,0.099140576,0.756651565,0.889326397
WBGene00014914,0.134064498,2.29364356,0.488183043,0.494080059,0.731529241
WBGene00014926,1.256810847,-0.463074341,4.323274822,0.052862304,0.201494084
WBGene00014938,0.095006212,3.253754643,1.030386424,0.324136855,0.592315928
WBGene00014965,0.099809868,4.943720857,2.40639929,0.139047004,0.37000903
WBGene00014989,-0.079370794,4.816904855,0.485241745,0.495366007,0.731962767
WBGene00014998,0.092952204,-0.123535888,0.101018296,0.77063026,0.896234149
WBGene00014999,-0.150908082,3.137016634,1.212792092,0.285954998,0.554686097
WBGene00015000,-0.36391761,2.093104543,3.241401291,0.089364046,0.284206971
WBGene00015001,-0.091633955,3.601020613,1.014731259,0.327735867,0.59577875
WBGene00015002,-0.096659498,3.563873394,0.703804772,0.413017855,0.669324187
WBGene00015004,-0.466306451,1.046709677,5.546599884,0.030640454,0.141144774
WBGene00015005,0.008905278,1.251490642,0.00134279,0.971190779,0.990394537
WBGene00015007,-0.251458926,8.45650562,9.612974254,0.006429919,0.045168388
WBGene00015008,0.050018824,2.587554724,0.153967367,0.699592927,0.857907945
WBGene00015009,0.095855732,4.838252092,1.727059212,0.206046421,0.465402858
WBGene00015010,-0.391840279,2.412136049,4.531598357,0.048017341,0.189043007
WBGene00015011,0.039708428,4.046908821,0.185761213,0.671821852,0.845186654
WBGene00015014,-0.380324439,0.383523053,1.277922607,0.273805399,0.541463013
WBGene00015017,-0.153250089,4.562430493,2.76171608,0.114662979,0.330817418
WBGene00015018,-0.089423021,1.021503363,0.124796506,0.728182582,0.87437418
