Kaplan down,Kaplan up,Tepper class I,Tepper class II,double_daf2_down,double_daf2_up,,
nspe-3,C29F4.2,WBGene00013078,WBGene00015229,WBGene00009626,WBGene00006979,,
math-50,C53D5.5,WBGene00002263,WBGene00001596,WBGene00019464,WBGene00000799,,
F09E5.10,ugt-2,WBGene00000535,WBGene00015034,WBGene00009805,WBGene00001395,,
K09B11.5,F45E10.2,WBGene00020593,WBGene00019998,WBGene00013882,WBGene00008741,,
col-168,nrf-6,WBGene00012122,WBGene00003020,WBGene00044201,WBGene00017101,,
T26E3.7,ptr-24,WBGene00015947,WBGene00005291,WBGene00008396,WBGene00009493,,
ZK402.3,cwn-1,WBGene00044284,WBGene00014119,WBGene00010128,WBGene00001394,,
B0511.2,F59F4.1,WBGene00000989,WBGene00011962,WBGene00005703,WBGene00007605,,
col-119,T28F4.1,WBGene00013481,WBGene00010953,WBGene00008654,WBGene00016939,,
sknr-1,tag-52,WBGene00022597,WBGene00001568,WBGene00008567,WBGene00010749,,
col-154,glt-1,WBGene00021183,WBGene00000939,WBGene00013060,WBGene00021268,,
K02F6.8,ncx-2,WBGene00021079,WBGene00015025,WBGene00008679,WBGene00012546,,
W02D7.11,pbo-5,WBGene00019464,WBGene00007393,WBGene00002110,WBGene00006431,,
fbxc-8,F01F1.3,WBGene00018532,WBGene00015091,WBGene00012492,WBGene00001446,,
F35F10.4,fig-1,WBGene00000551,WBGene00010136,WBGene00020741,WBGene00008602,,
Y108F1.5,pmp-1,WBGene00011870,WBGene00013956,WBGene00008436,WBGene00015710,,
F49C5.3,eif-3.H,WBGene00019232,WBGene00013653,WBGene00008575,WBGene00020788,,
T02B5.1,D2005.6,WBGene00010377,WBGene00011122,WBGene00016886,WBGene00019674,,
C38D9.5,ZK550.6,WBGene00017659,WBGene00010616,WBGene00008040,WBGene00271812,,
plp-2,clc-3,WBGene00018400,WBGene00019940,WBGene00020343,WBGene00015322,,
C32H11.7,mrp-5,WBGene00014213,WBGene00013092,WBGene00000108,WBGene00044332,,
mtl-1,F12B6.2,WBGene00003524,WBGene00001031,WBGene00021134,WBGene00008596,,
col-167,dpyd-1,WBGene00016172,WBGene00015702,WBGene00010408,WBGene00007857,,
C50F2.5,gale-1,WBGene00012294,WBGene00019984,WBGene00001789,WBGene00018258,,
F38B6.4,irg-3,WBGene00001763,WBGene00003507,WBGene00000673,WBGene00019917,,
W05F2.2,ztf-2,WBGene00021491,WBGene00008776,WBGene00001674,WBGene00008793,,
nspc-13,rga-4,WBGene00003652,WBGene00008677,WBGene00020784,WBGene00008358,,
ZK354.9,fib-1,WBGene00017773,WBGene00022375,WBGene00000872,WBGene00011540,,
his-39,ZK84.1,WBGene00014030,WBGene00004958,WBGene00003658,WBGene00020156,,
vps-32.2,Y73B6BL.21,WBGene00009617,WBGene00003154,WBGene00001957,WBGene00019738,,
K05F6.11,R13D7.2,WBGene00013975,WBGene00044638,WBGene00018466,WBGene00044896,,
fipr-5,acs-1,WBGene00016845,WBGene00006726,WBGene00003528,WBGene00010215,,
C25F9.13,eat-6,WBGene00011831,WBGene00006645,WBGene00004810,WBGene00021503,,
B0238.13,cutl-10,WBGene00001578,WBGene00008422,WBGene00016628,WBGene00020869,,
W02H5.12,T10H10.2,WBGene00000830,WBGene00008878,WBGene00022515,WBGene00021624,,
K02F6.5,pho-14,WBGene00008335,WBGene00012337,WBGene00008032,WBGene00004020,,
Y47G6A.27,C05D11.7,WBGene00017128,WBGene00021520,WBGene00001768,WBGene00007368,,
C38D4.1,K01A2.5,WBGene00013882,WBGene00009373,WBGene00022546,WBGene00012911,,
fbxa-40,nep-2,WBGene00008388,WBGene00004297,WBGene00000535,WBGene00010746,,
nspc-16,W03D2.6,WBGene00003528,WBGene00019791,WBGene00011763,WBGene00009192,,
F08A8.4,F42A10.3,WBGene00009486,WBGene00011773,WBGene00014006,WBGene00010545,,
col-12,C27H5.6,WBGene00011718,WBGene00012546,WBGene00044737,WBGene00000081,,
F15B9.6,F15B10.1,WBGene00020329,WBGene00018025,WBGene00018911,WBGene00012201,,
T08D2.1,vha-6,WBGene00020135,WBGene00019931,WBGene00004930,WBGene00019682,,
F33H12.6,nhx-9,WBGene00015163,WBGene00000746,WBGene00001684,WBGene00014057,,
anc-1,K05F1.10,WBGene00013633,WBGene00016731,WBGene00007695,WBGene00020938,,
C07E3.4,K10C2.1,WBGene00017673,WBGene00015146,WBGene00000929,WBGene00015333,,
rpl-37,C07A9.9,WBGene00008415,WBGene00009501,WBGene00013220,WBGene00014135,,
F47B8.4,pbo-6,WBGene00012085,WBGene00013234,WBGene00016863,WBGene00003959,,
clec-68,inx-13,WBGene00017429,WBGene00000430,WBGene00010018,WBGene00013939,,
nspc-4,sulp-2,WBGene00019489,WBGene00004775,WBGene00009499,WBGene00016175,,
arrd-11,let-754,WBGene00021043,WBGene00020326,WBGene00022441,WBGene00008451,,
col-162,R05A10.3,WBGene00010001,WBGene00015362,WBGene00022597,WBGene00022781,,
F25D7.4,C01B9.1,WBGene00021587,WBGene00012633,WBGene00020252,WBGene00014666,,
sago-2,F22E10.5,WBGene00002013,WBGene00009691,WBGene00013485,WBGene00009854,,
B0280.2,bcat-1,WBGene00000983,WBGene00008553,WBGene00000912,WBGene00235352,,
C36A4.11,cah-4,WBGene00010135,WBGene00010638,WBGene00001782,WBGene00008123,,
cst-2,K09C4.1,WBGene00020710,WBGene00021248,WBGene00013489,WBGene00016295,,
ZC196.9,flp-7,WBGene00001787,WBGene00007918,WBGene00021587,WBGene00009706,,
F07B7.12,C12D5.3,WBGene00007660,WBGene00045050,WBGene00009049,WBGene00015609,,
M199.7,C26B9.5,WBGene00015067,WBGene00007186,WBGene00011274,WBGene00008127,,
Y20F4.5,gtl-1,WBGene00016407,WBGene00000264,WBGene00018250,WBGene00001392,,
F52C6.12,asns-1,WBGene00010115,WBGene00021499,WBGene00012399,WBGene00017536,,
fipr-9,K09E4.4,WBGene00007357,WBGene00014124,WBGene00000993,WBGene00194717,,
his-64,amt-4,WBGene00004811,WBGene00001395,WBGene00021337,WBGene00003411,,
