Kaplan down,Kaplan up,Tepper class I,Tepper class II,double_daf2_down,double_daf2_up,,
fbxa-41,,WBGene00005642,WBGene00004042,WBGene00012860,WBGene00016610,,
K03B8.4,,WBGene00009077,WBGene00008676,WBGene00008979,WBGene00003724,,
numr-1,,WBGene00007886,WBGene00015400,WBGene00011562,WBGene00010503,,
old-2,,WBGene00013898,WBGene00019644,WBGene00007981,WBGene00003938,,
ebp-3,,WBGene00022178,WBGene00006886,WBGene00017971,WBGene00020906,,
his-26,,WBGene00022336,WBGene00016740,WBGene00007756,WBGene00044698,,
his-10,,WBGene00015059,WBGene00011864,WBGene00008926,WBGene00003238,,
his-14,,WBGene00010610,WBGene00012105,WBGene00012824,WBGene00012366,,
K09H11.7,,WBGene00002188,WBGene00004269,WBGene00002269,WBGene00013145,,
fbxa-78,,WBGene00005433,WBGene00007278,WBGene00009947,WBGene00016108,,
F47B3.3,,WBGene00017838,WBGene00019763,WBGene00009389,WBGene00000437,,
C01G5.3,,WBGene00016706,WBGene00016793,WBGene00004131,WBGene00016254,,
C01B7.7,,WBGene00013840,WBGene00013284,WBGene00000976,WBGene00016425,,
F07B7.13,,WBGene00017653,WBGene00001978,WBGene00000601,WBGene00012204,,
H12D21.2,,WBGene00016110,WBGene00001543,WBGene00007140,WBGene00019986,,
ZC412.9,,WBGene00020215,WBGene00019479,WBGene00006463,WBGene00002879,,
Y73B6BL.12,,WBGene00001994,WBGene00018782,WBGene00009306,WBGene00022284,,
his-20,,WBGene00021407,WBGene00003648,WBGene00044723,WBGene00050939,,
math-19,,WBGene00007653,WBGene00009483,WBGene00022769,WBGene00015574,,
his-22,,WBGene00000135,WBGene00001910,WBGene00003124,WBGene00022176,,
set-33,,WBGene00021981,WBGene00015829,WBGene00007619,WBGene00015087,,
Y13C8A.1,,WBGene00000981,WBGene00001259,WBGene00002173,WBGene00020774,,
his-54,,WBGene00013515,WBGene00000911,WBGene00011417,WBGene00020633,,
his-52,,WBGene00012915,WBGene00022869,WBGene00012369,WBGene00015646,,
Y24F12A.3,,WBGene00006820,WBGene00007463,WBGene00003001,WBGene00007812,,
Y64H9A.1,,WBGene00014187,WBGene00008922,WBGene00001631,WBGene00003388,,
cyp-25A6,,WBGene00008295,WBGene00009177,WBGene00019444,WBGene00007651,,
W02H5.10,,WBGene00015876,WBGene00008990,WBGene00011393,WBGene00006589,,
K01A12.4,,WBGene00012750,WBGene00022831,WBGene00018218,WBGene00001944,,
C01B4.9,,WBGene00021909,WBGene00021186,WBGene00000901,WBGene00008129,,
ZC317.1,,WBGene00007992,WBGene00011147,WBGene00000775,WBGene00022307,,
T15B7.7,,WBGene00019182,WBGene00002021,WBGene00021039,WBGene00020446,,
Y81G3A.1,,WBGene00003710,WBGene00003409,WBGene00006462,WBGene00013054,,
Y45G12C.16,,WBGene00019789,WBGene00008317,WBGene00002138,WBGene00004370,,
T08D2.5,,WBGene00020861,WBGene00022025,WBGene00015968,WBGene00009350,,
his-9,,WBGene00003515,WBGene00007515,WBGene00010603,WBGene00004052,,
his-13,,WBGene00001711,WBGene00019564,WBGene00020047,WBGene00020062,,
fbxa-91,,WBGene00013570,WBGene00015237,WBGene00001793,WBGene00022469,,
col-7,,WBGene00008059,WBGene00001563,WBGene00018910,WBGene00002019,,
C06A5.5,,WBGene00009221,WBGene00012462,WBGene00011045,WBGene00001150,,
Y76G2A.1,,WBGene00015434,WBGene00003815,WBGene00018568,WBGene00009031,,
C55A1.4,,WBGene00002026,WBGene00004103,WBGene00008022,WBGene00008235,,
ZK783.5,,WBGene00004758,WBGene00009451,WBGene00009952,WBGene00011771,,
Y43D4A.3,,WBGene00013904,WBGene00008429,WBGene00007358,WBGene00019064,,
ttr-4,,WBGene00000703,WBGene00019087,WBGene00019293,WBGene00020580,,
fbxa-58,,WBGene00045183,WBGene00016840,WBGene00011021,WBGene00015066,,
Y108F1.1,,WBGene00015660,WBGene00022586,WBGene00001070,WBGene00017983,,
Y47C4A.1,,WBGene00000732,WBGene00003996,WBGene00010964,WBGene00013878,,
Y43D4A.4,,WBGene00008745,WBGene00007391,WBGene00016315,WBGene00022748,,
F56A4.4,,WBGene00002242,WBGene00003653,WBGene00011595,WBGene00044009,,
Y45G12C.3,,WBGene00003733,WBGene00013541,WBGene00044049,WBGene00000169,,
F17C8.6,,WBGene00004097,WBGene00019546,WBGene00003647,WBGene00017764,,
F14D7.14,,WBGene00000932,WBGene00017159,WBGene00016957,WBGene00018965,,
pes-2.1,,WBGene00004311,WBGene00018413,WBGene00004195,WBGene00002017,,
pes-2.2,,WBGene00017945,WBGene00022459,WBGene00013963,WBGene00001447,,
his-66,,WBGene00013023,WBGene00009798,WBGene00018112,WBGene00020648,,
his-50,,WBGene00007791,WBGene00002043,WBGene00009475,WBGene00017582,,
his-28,,WBGene00021159,WBGene00008099,WBGene00021215,WBGene00008880,,
his-48,,WBGene00020881,WBGene00022458,WBGene00018069,WBGene00016134,,
his-58,,WBGene00011681,WBGene00004752,WBGene00015460,WBGene00194692,,
F16H6.5,,WBGene00007228,WBGene00011543,WBGene00021467,WBGene00012945,,
F56A4.12,,WBGene00020104,WBGene00015501,WBGene00003167,WBGene00006586,,
col-171,,WBGene00022572,WBGene00009660,WBGene00018260,WBGene00019225,,
Y59E9AR.2,,WBGene00021835,WBGene00021112,WBGene00017485,WBGene00000528,,
F21H12.2,,WBGene00021872,WBGene00017092,WBGene00019234,WBGene00012815,,
fbxa-221,,WBGene00013963,WBGene00016577,WBGene00014207,WBGene00011833,,
cyp-13A11,,WBGene00020592,WBGene00044793,WBGene00012085,WBGene00004176,,
C41H7.9,,WBGene00000534,WBGene00019379,WBGene00007463,WBGene00001448,,
Y26D4A.10,,WBGene00022179,WBGene00009499,WBGene00014166,WBGene00013388,,
nspc-5,,WBGene00014252,WBGene00001973,WBGene00005110,WBGene00003599,,
nspc-2,,WBGene00009106,WBGene00017247,WBGene00016978,WBGene00017480,,
nspc-6,,WBGene00014053,WBGene00004508,WBGene00010793,WBGene00002015,,
fbxa-165,,WBGene00020844,WBGene00010056,WBGene00000147,WBGene00006882,,
F40C5.2,,WBGene00019187,WBGene00011713,WBGene00010426,WBGene00016961,,
T24A6.17,,WBGene00020063,WBGene00004762,WBGene00016027,WBGene00000832,,
Y48G1BL.4,,WBGene00018405,WBGene00012989,WBGene00012444,WBGene00011290,,
his-46,,WBGene00022144,WBGene00013393,WBGene00003765,WBGene00006840,,
his-56,,WBGene00011672,WBGene00009883,WBGene00013961,WBGene00013330,,
Y40C7B.3,,WBGene00005703,WBGene00003402,WBGene00044313,WBGene00012891,,
C02G6.2,,WBGene00019436,WBGene00021585,WBGene00021942,WBGene00011188,,
nspc-1,,WBGene00001202,WBGene00013677,WBGene00010025,WBGene00021464,,
nspc-7,,WBGene00007566,WBGene00004823,WBGene00021079,WBGene00020725,,
str-258,,WBGene00003452,WBGene00020821,WBGene00004304,WBGene00006308,,
Y19D10A.2,,WBGene00015294,WBGene00011893,WBGene00044568,WBGene00007597,,
F20B6.7,,WBGene00021487,WBGene00006530,WBGene00006220,WBGene00019837,,
fbxc-9,,WBGene00006539,WBGene00004684,WBGene00005032,WBGene00019404,,
fbxc-11,,WBGene00011593,WBGene00019510,WBGene00020806,WBGene00007166,,
fbxc-10,,WBGene00001457,WBGene00009672,WBGene00019935,WBGene00011744,,
Y76G2A.2,,WBGene00006570,WBGene00001599,WBGene00008732,WBGene00008408,,
C34C12.1,,WBGene00019178,WBGene00021852,WBGene00000561,WBGene00022346,,
cyp-13A4,,WBGene00004986,WBGene00007225,WBGene00011860,WBGene00009904,,
Y59E9AR.8,,WBGene00016981,WBGene00016763,WBGene00002891,WBGene00017012,,
F59H6.5,,WBGene00021566,WBGene00013311,WBGene00011517,WBGene00018411,,
Y47H9C.9,,WBGene00009806,WBGene00022114,WBGene00001487,WBGene00003555,,
fbxa-133,,WBGene00020732,WBGene00006590,WBGene00009931,WBGene00001325,,
fipr-11,,WBGene00018146,WBGene00011494,WBGene00003104,WBGene00012961,,
C02B8.7,,WBGene00003990,WBGene00015697,WBGene00011026,WBGene00019763,,
F35E8.9,,WBGene00012424,WBGene00008891,WBGene00010661,WBGene00008317,,
Y106G6H.9,,WBGene00015700,WBGene00017103,WBGene00011717,WBGene00010747,,
Y16E11A.2,,WBGene00015262,WBGene00044796,WBGene00017893,WBGene00012873,,
ZK250.9,,WBGene00011452,WBGene00022482,WBGene00002139,WBGene00016788,,
C06A5.10,,WBGene00021883,WBGene00006910,WBGene00011492,WBGene00008744,,
F20B6.1,,WBGene00008859,WBGene00017990,WBGene00020684,WBGene00021931,,
srd-61,,WBGene00000526,WBGene00004721,WBGene00007609,WBGene00009462,,
srd-75,,WBGene00002129,WBGene00021745,WBGene00022445,WBGene00012416,,
Y71G12B.28,,WBGene00007679,WBGene00017201,WBGene00003843,WBGene00019312,,
his-11,,WBGene00021158,WBGene00016063,WBGene00003548,WBGene00013647,,
his-44,,WBGene00017108,WBGene00016760,WBGene00010630,WBGene00005640,,
his-15,,WBGene00020279,WBGene00008564,WBGene00020260,WBGene00020678,,
sdz-25,,WBGene00077761,WBGene00008718,WBGene00019022,WBGene00021055,,
F07B7.8,,WBGene00010789,WBGene00012683,WBGene00013481,WBGene00000393,,
K06C4.1,,WBGene00013572,WBGene00007721,WBGene00014150,WBGene00002348,,
nspa-1,,WBGene00008060,WBGene00005138,WBGene00015753,WBGene00016431,,
nspa-3,,WBGene00015440,WBGene00009629,WBGene00017765,WBGene00009050,,
F22G12.7,,WBGene00019946,WBGene00017751,WBGene00016150,WBGene00003842,,
rgs-8.1,,WBGene00009957,WBGene00018893,WBGene00019743,WBGene00003497,,
rgs-8.2,,WBGene00009440,WBGene00001816,WBGene00018104,WBGene00021493,,
T19H12.12,,WBGene00000217,WBGene00012251,WBGene00044663,WBGene00008014,,
Y47D9A.3,,WBGene00011099,WBGene00008494,WBGene00002086,WBGene00021741,,
his-16,,WBGene00010440,WBGene00018303,WBGene00010279,WBGene00010319,,
nspa-8,,WBGene00019016,WBGene00000040,WBGene00012987,WBGene00015220,,
F35E2.1,,WBGene00001753,WBGene00000055,WBGene00016835,WBGene00008225,,
his-34,,WBGene00019466,WBGene00013709,WBGene00022766,WBGene00014063,,
his-29,,WBGene00021397,WBGene00015859,WBGene00017478,WBGene00013968,,
W05H7.2,,WBGene00001502,WBGene00006059,WBGene00010838,WBGene00012988,,
nspa-2,,WBGene00017504,WBGene00015609,WBGene00011990,WBGene00015791,,
nspa-4,,WBGene00011021,WBGene00015805,WBGene00002855,WBGene00006584,,
nspa-5,,WBGene00015867,WBGene00016676,WBGene00015900,WBGene00007206,,
T01G5.8,,WBGene00017265,WBGene00006047,WBGene00008372,WBGene00020698,,
his-43,,WBGene00021894,WBGene00009971,WBGene00010183,WBGene00022499,,
his-12,,WBGene00013737,WBGene00013958,WBGene00006779,WBGene00008783,,
nspa-6,,WBGene00011522,WBGene00020504,WBGene00044249,WBGene00009361,,
nspa-7,,WBGene00019047,WBGene00044169,WBGene00001531,WBGene00020050,,
Y38F2AL.6,,WBGene00000775,WBGene00009982,WBGene00015919,WBGene00003570,,
ZK402.1,,WBGene00006479,WBGene00009342,WBGene00020812,WBGene00302974,,
his-49,,WBGene00011573,WBGene00011016,WBGene00002260,WBGene00010378,,
his-27,,WBGene00008170,WBGene00018422,WBGene00019170,WBGene00006966,,
ugt-38,,WBGene00000768,WBGene00004779,WBGene00008220,WBGene00019322,,
T22B2.7,,WBGene00016194,WBGene00006919,WBGene00013091,WBGene00044206,,
Y38C1AB.3,,WBGene00020211,WBGene00002999,WBGene00017892,WBGene00000033,,
Y38C1AB.7,,WBGene00012158,WBGene00017855,WBGene00017488,WBGene00002057,,
ZK899.5,,WBGene00001461,WBGene00018362,WBGene00000877,WBGene00021078,,
Y71A12B.2,,WBGene00017470,WBGene00018890,WBGene00016324,WBGene00019428,,
Y71A12B.3,,WBGene00018656,WBGene00004400,WBGene00010891,WBGene00019525,,
Y46D2A.5,,WBGene00008323,WBGene00007564,WBGene00004228,WBGene00015356,,
T11F9.7,,WBGene00009958,WBGene00009007,WBGene00019017,WBGene00015047,,
vit-4,,WBGene00015544,WBGene00019005,WBGene00017772,WBGene00004061,,
C17H11.4,,WBGene00013848,WBGene00003835,WBGene00007819,WBGene00017574,,
F55B12.10,,WBGene00008454,WBGene00011975,WBGene00007707,WBGene00018657,,
Y46B2A.2,,WBGene00020981,WBGene00004033,WBGene00021442,WBGene00005664,,
W08E12.4,,WBGene00009387,WBGene00020989,WBGene00016052,WBGene00015949,,
his-45,,WBGene00006754,WBGene00008485,WBGene00011446,WBGene00008923,,
,,WBGene00014000,WBGene00022865,WBGene00016769,WBGene00005545,,
,,WBGene00022501,WBGene00009854,WBGene00000259,WBGene00010868,,
,,WBGene00000454,WBGene00022015,WBGene00015578,WBGene00012643,,
,,WBGene00044404,WBGene00010256,WBGene00004124,WBGene00012914,,
,,WBGene00015954,WBGene00021420,WBGene00019655,WBGene00012929,,
,,WBGene00017654,WBGene00016786,WBGene00008251,WBGene00000518,,
,,WBGene00008897,WBGene00017262,WBGene00007314,WBGene00011285,,
,,WBGene00016378,WBGene00000179,WBGene00017075,WBGene00016368,,
,,WBGene00000950,WBGene00012211,WBGene00008803,WBGene00012295,,
,,WBGene00006760,WBGene00016415,WBGene00013445,WBGene00009836,,
,,WBGene00016018,WBGene00018375,WBGene00008645,WBGene00016365,,
,,WBGene00016539,WBGene00015037,WBGene00019648,WBGene00002051,,
,,WBGene00001649,WBGene00004888,WBGene00003547,WBGene00045379,,
,,WBGene00001767,WBGene00001396,WBGene00015163,WBGene00007549,,
,,WBGene00013485,WBGene00008991,WBGene00017078,WBGene00008969,,
,,WBGene00007691,WBGene00013207,WBGene00012856,WBGene00008726,,
,,WBGene00016970,WBGene00009460,WBGene00015476,WBGene00016094,,
,,WBGene00011753,WBGene00000226,WBGene00000967,WBGene00016028,,
,,WBGene00015492,WBGene00006394,WBGene00019429,WBGene00044032,,
,,WBGene00010501,WBGene00006736,WBGene00271821,WBGene00008812,,
,,WBGene00008979,WBGene00010050,WBGene00008486,WBGene00011307,,
,,WBGene00007288,WBGene00009507,WBGene00019777,WBGene00019285,,
,,WBGene00044889,WBGene00008787,WBGene00219285,WBGene00014245,,
,,WBGene00017717,WBGene00006518,WBGene00006662,WBGene00008957,,
,,WBGene00003739,WBGene00016890,WBGene00022606,WBGene00011836,,
,,WBGene00001887,WBGene00013694,WBGene00016262,WBGene00000845,,
,,WBGene00019106,WBGene00012890,WBGene00077769,WBGene00019564,,
,,WBGene00018250,WBGene00000722,WBGene00206487,WBGene00008191,,
,,WBGene00020339,WBGene00022456,WBGene00000664,WBGene00012857,,
,,WBGene00020195,WBGene00012360,WBGene00019382,WBGene00020746,,
,,WBGene00018403,WBGene00018970,WBGene00018707,WBGene00044906,,
,,WBGene00019111,WBGene00004814,WBGene00018052,WBGene00007867,,
,,WBGene00001730,WBGene00009520,WBGene00007588,WBGene00003812,,
,,WBGene00012448,WBGene00015217,WBGene00019540,WBGene00012901,,
,,WBGene00011997,WBGene00009621,WBGene00012269,WBGene00017499,,
,,WBGene00014175,WBGene00005949,WBGene00008319,WBGene00008433,,
,,WBGene00003546,WBGene00019914,WBGene00010778,WBGene00019588,,
,,WBGene00015726,WBGene00007048,WBGene00012031,WBGene00021532,,
,,WBGene00006226,WBGene00006512,WBGene00015284,WBGene00019207,,
,,WBGene00019888,WBGene00021518,WBGene00003732,WBGene00009971,,
,,WBGene00011158,WBGene00016629,WBGene00020175,WBGene00017335,,
,,WBGene00007697,WBGene00019629,WBGene00020911,WBGene00020245,,
,,WBGene00002132,WBGene00016422,WBGene00010050,WBGene00007275,,
,,WBGene00016686,WBGene00010472,WBGene00012940,WBGene00006677,,
,,WBGene00045356,WBGene00012757,WBGene00009257,WBGene00010232,,
,,WBGene00007091,WBGene00004135,WBGene00007711,WBGene00002020,,
,,WBGene00018043,WBGene00020932,WBGene00015397,WBGene00009811,,
,,WBGene00004192,WBGene00015085,WBGene00016353,WBGene00044757,,
,,WBGene00010343,WBGene00001403,WBGene00013986,WBGene00003567,,
,,WBGene00001945,WBGene00008318,WBGene00001481,WBGene00020107,,
,,WBGene00011682,WBGene00018210,WBGene00015788,WBGene00003480,,
,,WBGene00008593,WBGene00003136,WBGene00000139,WBGene00003968,,
,,WBGene00021326,WBGene00015141,WBGene00017149,WBGene00002981,,
,,WBGene00000251,WBGene00004094,WBGene00012514,WBGene00017571,,
,,WBGene00000728,WBGene00002035,WBGene00002137,WBGene00022026,,
,,WBGene00005270,WBGene00008127,WBGene00007525,WBGene00011288,,
,,WBGene00012869,WBGene00018435,WBGene00022339,WBGene00020532,,
,,WBGene00000370,WBGene00020761,WBGene00235271,WBGene00015673,,
,,WBGene00018766,WBGene00018811,WBGene00013164,WBGene00004218,,
,,WBGene00021486,WBGene00000281,WBGene00019295,WBGene00018552,,
,,WBGene00001129,WBGene00013725,WBGene00001581,WBGene00019840,,
,,WBGene00001621,WBGene00001602,WBGene00020566,WBGene00007204,,
,,WBGene00008497,WBGene00015908,WBGene00010096,WBGene00022103,,
,,WBGene00022070,WBGene00006936,WBGene00005006,WBGene00003846,,
,,WBGene00003766,WBGene00017442,WBGene00007063,WBGene00016785,,
,,WBGene00002176,WBGene00002694,WBGene00012700,WBGene00016539,,
,,WBGene00011108,WBGene00011035,WBGene00004462,WBGene00002915,,
,,WBGene00010488,WBGene00015499,WBGene00010961,WBGene00008577,,
,,WBGene00021048,WBGene00013697,WBGene00010284,WBGene00002344,,
,,WBGene00010614,WBGene00016947,WBGene00022732,WBGene00013175,,
,,WBGene00016484,WBGene00009368,WBGene00014160,WBGene00012170,,
,,WBGene00021264,WBGene00019097,WBGene00012034,WBGene00008354,,
,,WBGene00021406,WBGene00016431,WBGene00011217,WBGene00000031,,
,,WBGene00020697,WBGene00018261,WBGene00007133,WBGene00016233,,
,,WBGene00017578,WBGene00006925,WBGene00007966,WBGene00006543,,
,,WBGene00021339,WBGene00009098,WBGene00044605,WBGene00004174,,
,,WBGene00008168,WBGene00010189,WBGene00044780,WBGene00012268,,
,,WBGene00001172,WBGene00017595,WBGene00009624,WBGene00016022,,
,,WBGene00017637,WBGene00006062,WBGene00018701,WBGene00009334,,
,,WBGene00011286,WBGene00008917,WBGene00019818,WBGene00016344,,
,,WBGene00001764,WBGene00016644,WBGene00018262,WBGene00008499,,
,,WBGene00012143,WBGene00013435,WBGene00010111,WBGene00004858,,
,,WBGene00019098,WBGene00019215,WBGene00002238,WBGene00003407,,
,,WBGene00003166,WBGene00017677,WBGene00020046,WBGene00018027,,
,,WBGene00003610,WBGene00009102,WBGene00021159,WBGene00206380,,
,,WBGene00000216,WBGene00015486,WBGene00007786,WBGene00000136,,
,,WBGene00000670,WBGene00022261,WBGene00002262,WBGene00009308,,
,,WBGene00006815,WBGene00010659,WBGene00000596,WBGene00018274,,
,,WBGene00018044,WBGene00010622,WBGene00009632,WBGene00013716,,
,,WBGene00043984,WBGene00014031,WBGene00020347,WBGene00008967,,
,,WBGene00010224,WBGene00017322,WBGene00018268,WBGene00018971,,
,,WBGene00008198,WBGene00003803,WBGene00020903,WBGene00020854,,
,,WBGene00001758,WBGene00020360,WBGene00006649,WBGene00021434,,
,,WBGene00018054,WBGene00018823,WBGene00044355,WBGene00021526,,
,,WBGene00008320,WBGene00019544,WBGene00001244,WBGene00011300,,
,,WBGene00011106,WBGene00001630,WBGene00021344,WBGene00003413,,
,,WBGene00023172,WBGene00010007,WBGene00003723,WBGene00044898,,
,,WBGene00009001,WBGene00022720,WBGene00022643,WBGene00010268,,
,,WBGene00007141,WBGene00019547,WBGene00021883,WBGene00021625,,
,,WBGene00008369,WBGene00003645,WBGene00001507,WBGene00010950,,
,,WBGene00010918,WBGene00018594,WBGene00271815,WBGene00012407,,
,,WBGene00008322,WBGene00012339,WBGene00005913,WBGene00016796,,
,,WBGene00006163,WBGene00019323,WBGene00016195,WBGene00007254,,
,,WBGene00021915,WBGene00018340,WBGene00008227,WBGene00044151,,
,,WBGene00000224,WBGene00009642,WBGene00022683,WBGene00018849,,
,,WBGene00004212,WBGene00018892,WBGene00019847,WBGene00016135,,
,,WBGene00011270,WBGene00011880,WBGene00013762,WBGene00005447,,
,,WBGene00020082,WBGene00015746,WBGene00012933,WBGene00021163,,
,,WBGene00000742,WBGene00003904,WBGene00017428,WBGene00045295,,
,,WBGene00017808,WBGene00022881,WBGene00011084,WBGene00018607,,
,,WBGene00002048,WBGene00019589,WBGene00019882,WBGene00020707,,
,,WBGene00012062,WBGene00001040,WBGene00017312,WBGene00003697,,
,,WBGene00005007,WBGene00011801,WBGene00001441,WBGene00044542,,
,,WBGene00003225,WBGene00022794,WBGene00005647,WBGene00006833,,
,,WBGene00012778,WBGene00013716,WBGene00008389,WBGene00020740,,
,,WBGene00010299,WBGene00006822,WBGene00018758,WBGene00044646,,
,,WBGene00009848,WBGene00008359,WBGene00020424,WBGene00020919,,
,,WBGene00021623,WBGene00015216,WBGene00020450,WBGene00015739,,
,,WBGene00007916,WBGene00004759,WBGene00021224,WBGene00020225,,
,,WBGene00020801,WBGene00006617,WBGene00020690,WBGene00021890,,
,,WBGene00008792,WBGene00019100,WBGene00000002,WBGene00001670,,
,,WBGene00018099,WBGene00001228,WBGene00044445,WBGene00018292,,
,,WBGene00045215,WBGene00008091,WBGene00021637,WBGene00008180,,
,,WBGene00011671,WBGene00008360,WBGene00016465,WBGene00019660,,
,,WBGene00007598,WBGene00012988,WBGene00000425,WBGene00018572,,
,,WBGene00003752,WBGene00000257,WBGene00050904,WBGene00012909,,
,,WBGene00007408,WBGene00008417,WBGene00004860,WBGene00002257,,
,,WBGene00015781,WBGene00021814,WBGene00001148,WBGene00005893,,
,,WBGene00010169,WBGene00001430,WBGene00019339,WBGene00018037,,
,,WBGene00003084,WBGene00002241,WBGene00008646,WBGene00009709,,
,,WBGene00007725,WBGene00015577,WBGene00001790,WBGene00011396,,
,,WBGene00000554,WBGene00008393,WBGene00016923,WBGene00002128,,
,,WBGene00000237,WBGene00008338,WBGene00011420,WBGene00050875,,
,,WBGene00017850,WBGene00013703,WBGene00008271,WBGene00019868,,
,,WBGene00005735,WBGene00014073,WBGene00021868,WBGene00045365,,
,,WBGene00006640,WBGene00016705,WBGene00044198,WBGene00018786,,
,,WBGene00016187,WBGene00010747,WBGene00001783,WBGene00009968,,
,,WBGene00013104,WBGene00013996,WBGene00006890,WBGene00043948,,
,,WBGene00020873,WBGene00043980,WBGene00011922,WBGene00012064,,
,,WBGene00021544,WBGene00004815,WBGene00012225,WBGene00022231,,
,,WBGene00007993,WBGene00012930,WBGene00021185,WBGene00022019,,
,,WBGene00011643,WBGene00007254,WBGene00045275,WBGene00006530,,
,,WBGene00001236,WBGene00044243,WBGene00007749,WBGene00017755,,
,,WBGene00000942,WBGene00015455,WBGene00021875,WBGene00004830,,
,,WBGene00001462,WBGene00015168,WBGene00020346,WBGene00022104,,
,,WBGene00000207,WBGene00008392,WBGene00014668,WBGene00001240,,
,,WBGene00018093,WBGene00015389,WBGene00010472,WBGene00022570,,
,,WBGene00011639,WBGene00008357,WBGene00007109,WBGene00003573,,
,,WBGene00045180,WBGene00008830,WBGene00013515,WBGene00011207,,
,,WBGene00000899,WBGene00000475,WBGene00012178,WBGene00017302,,
,,WBGene00021035,WBGene00008358,WBGene00000920,WBGene00008856,,
,,WBGene00004145,WBGene00009671,WBGene00019006,WBGene00009331,,
,,WBGene00044738,WBGene00022270,WBGene00022737,WBGene00010262,,
,,WBGene00008450,WBGene00004058,WBGene00018251,WBGene00002056,,
,,WBGene00019845,WBGene00007642,WBGene00016606,WBGene00011070,,
,,WBGene00007324,WBGene00010498,WBGene00016586,WBGene00013730,,
,,WBGene00022142,WBGene00017069,WBGene00005716,WBGene00021236,,
,,WBGene00018804,WBGene00003607,WBGene00009187,WBGene00009360,,
,,WBGene00007881,WBGene00007549,WBGene00077526,WBGene00011949,,
,,WBGene00011595,WBGene00000099,WBGene00015176,WBGene00016898,,
,,WBGene00017715,WBGene00015813,WBGene00022374,WBGene00003015,,
,,WBGene00007267,WBGene00014057,WBGene00015273,WBGene00012114,,
,,WBGene00013973,WBGene00015693,WBGene00206362,WBGene00007092,,
,,WBGene00014697,WBGene00001761,WBGene00007947,WBGene00017305,,
,,WBGene00003535,WBGene00011185,WBGene00000302,WBGene00001690,,
,,WBGene00044548,WBGene00012445,WBGene00022500,WBGene00002008,,
,,WBGene00015252,WBGene00050940,WBGene00003956,WBGene00021495,,
,,WBGene00004369,WBGene00021977,WBGene00010730,WBGene00019673,,
,,WBGene00000421,WBGene00007506,WBGene00019508,WBGene00010994,,
,,WBGene00020118,WBGene00007283,WBGene00022427,WBGene00006575,,
,,WBGene00008464,WBGene00010113,WBGene00009245,WBGene00019565,,
,,WBGene00018857,WBGene00015713,WBGene00012234,WBGene00021859,,
,,WBGene00011750,WBGene00009565,WBGene00007988,WBGene00018742,,
,,WBGene00019070,WBGene00006798,WBGene00016092,WBGene00015929,,
,,WBGene00019112,WBGene00009649,WBGene00019792,WBGene00045510,,
,,WBGene00020297,WBGene00002077,WBGene00003976,WBGene00017464,,
,,WBGene00017599,WBGene00013721,WBGene00043064,WBGene00003783,,
,,WBGene00020185,WBGene00009226,WBGene00018271,WBGene00009342,,
,,WBGene00011292,WBGene00003577,WBGene00255605,WBGene00000553,,
,,WBGene00011571,WBGene00020245,WBGene00018621,WBGene00013564,,
,,WBGene00014093,WBGene00008067,WBGene00007329,WBGene00019301,,
,,WBGene00016417,WBGene00011439,WBGene00009955,WBGene00022038,,
,,WBGene00000743,WBGene00019825,WBGene00012226,WBGene00015202,,
,,WBGene00019816,WBGene00020756,WBGene00015125,WBGene00016671,,
,,WBGene00012885,WBGene00006447,WBGene00016349,WBGene00004890,,
,,WBGene00009268,WBGene00016781,WBGene00017720,WBGene00020882,,
,,WBGene00013859,WBGene00022181,WBGene00003922,WBGene00022129,,
,,WBGene00017979,WBGene00000190,WBGene00000724,WBGene00017184,,
,,WBGene00018771,WBGene00019473,WBGene00007325,WBGene00003533,,
,,WBGene00021895,WBGene00000835,WBGene00007106,WBGene00003936,,
,,WBGene00001109,WBGene00017593,WBGene00015471,WBGene00011360,,
,,WBGene00017314,WBGene00003248,WBGene00019111,WBGene00010427,,
,,WBGene00007517,WBGene00018921,WBGene00010365,WBGene00020282,,
,,WBGene00005430,WBGene00018797,WBGene00017431,WBGene00044043,,
,,WBGene00022200,WBGene00006379,WBGene00011521,WBGene00013543,,
,,WBGene00012425,WBGene00001591,WBGene00010416,WBGene00004238,,
,,WBGene00001531,WBGene00020847,WBGene00020827,WBGene00009356,,
,,WBGene00001750,WBGene00001333,WBGene00044679,WBGene00003242,,
,,WBGene00018732,WBGene00015522,WBGene00012316,WBGene00015326,,
,,WBGene00000952,WBGene00007008,WBGene00018133,WBGene00012728,,
,,WBGene00007044,WBGene00017364,WBGene00018233,WBGene00008360,,
,,WBGene00016785,WBGene00004000,WBGene00018114,WBGene00010703,,
,,WBGene00016828,WBGene00014244,WBGene00015799,WBGene00004395,,
,,WBGene00006975,WBGene00016061,WBGene00011144,WBGene00003669,,
,,WBGene00018590,WBGene00000562,WBGene00016971,WBGene00008234,,
,,WBGene00020892,WBGene00012618,WBGene00010705,WBGene00009808,,
,,WBGene00077684,WBGene00017082,WBGene00001215,WBGene00021848,,
,,WBGene00017959,WBGene00016245,WBGene00007141,WBGene00011590,,
,,WBGene00010518,WBGene00021448,WBGene00016283,WBGene00003941,,
,,WBGene00000282,WBGene00022688,WBGene00001645,WBGene00007394,,
,,WBGene00008967,WBGene00017596,WBGene00003030,WBGene00005003,,
