Strain,Worm,Rep,Days_Starved,Tp1,Tp2,Tp3,Tp4,Tp5,Tp6,Tp7,Total
daf-16; daf-2,6,8,6,4,179,72,5,0,0,0,260
daf-16; daf-2,7,8,6,2,182,58,1,0,0,0,243
daf-16; daf-2,8,8,6,0,155,65,1,0,0,0,221
daf-16; daf-2,9,8,6,5,156,140,40,1,0,0,342
daf-16; daf-2,10,8,6,5,191,120,13,2,0,0,331
daf-16; daf-2,11,8,6,4,148,68,4,0,0,0,224
daf-16; daf-2,12,8,6,0,122,125,28,0,0,0,275
daf-16; daf-2,13,8,6,0,21,35,22,4,0,0,82
daf-16; daf-2,14,8,6,12,167,68,2,0,0,0,249
daf-16; daf-2,15,8,6,0,37,32,0,0,0,0,69
daf-16; daf-2,16,8,6,0,45,93,72,12,1,0,223
daf-16; daf-2,17,8,6,0,15,60,57,24,11,0,167
daf-16; daf-2,18,8,6,0,117,99,13,1,0,0,230
daf-16,1,8,6,36,185,47,2,0,0,0,270
daf-16,2,8,6,49,171,0,23,2,0,0,245
daf-16,3,8,6,2,120,111,57,2,0,0,292
daf-16,4,8,6,16,115,45,32,0,0,0,208
daf-16,5,8,6,0,98,83,20,3,0,0,204
daf-16,6,8,6,0,107,119,34,1,0,0,261
daf-16,7,8,6,24,158,65,8,0,0,0,255
daf-16,8,8,6,45,149,49,44,7,0,0,294
daf-16,9,8,6,40,158,50,13,2,0,0,263
daf-16,10,8,6,21,70,57,37,21,0,0,206
daf-16,11,8,6,13,85,103,77,0,0,0,278
daf-16,12,8,6,8,132,71,20,0,0,0,231
daf-16,13,8,6,7,111,94,42,14,0,0,268
daf-16,14,8,6,41,183,71,0,0,0,0,295
daf-16,15,8,6,49,121,82,23,1,0,0,276
daf-16,16,8,6,49,159,89,2,0,0,0,299
daf-16,17,8,6,4,115,116,15,2,0,0,252
daf-16,18,8,6,0,0,0,0,0,0,0,0
WT,1,9,1,93,136,58,2,2,0,0,291
WT,2,9,1,94,179,34,1,1,0,0,309
WT,3,9,1,108,184,42,0,0,0,0,334
WT,4,9,1,98,145,49,3,3,0,0,298
WT,5,9,1,91,168,57,2,0,0,0,318
WT,6,9,1,111,178,15,2,0,0,0,306
WT,7,9,1,101,176,36,1,0,0,0,314
WT,8,9,1,94,188,47,0,0,0,0,329
WT,9,9,1,97,190,11,0,0,0,0,298
WT,10,9,1,94,185,65,13,3,0,0,360
WT,11,9,1,100,180,104,4,1,0,0,389
WT,12,9,1,112,166,46,1,0,0,0,325
WT,13,9,1,99,195,53,2,2,0,0,351
WT,14,9,1,113,200,64,0,0,0,0,377
WT,15,9,1,97,141,53,13,0,0,0,304
WT,16,9,1,99,201,64,4,0,0,0,368
WT,17,9,1,103,186,47,0,0,0,0,336
WT,18,9,1,116,187,70,1,0,0,0,374
daf-2,1,9,1,0,39,78,53,59,30,4,263
daf-2,2,9,1,0,0,0,0,0,0,0,0
daf-2,3,9,1,0,32,65,61,38,9,0,205
daf-2,4,9,1,0,37,67,63,36,8,0,211
daf-2,5,9,1,0,6,21,15,19,10,6,77
daf-2,6,9,1,0,26,65,57,51,24,7,230
daf-2,7,9,1,0,31,82,60,50,19,3,245
daf-2,8,9,1,0,37,73,46,31,5,0,192
daf-2,9,9,1,0,8,41,23,0,0,0,72
daf-2,10,9,1,0,36,77,66,57,25,7,268
daf-2,11,9,1,0,15,70,67,48,15,3,218
daf-2,12,9,1,0,5,8,0,0,0,0,13
daf-2,13,9,1,0,26,51,54,38,11,9,189
daf-2,14,9,1,0,37,61,54,79,30,20,281
daf-2,15,9,1,0,20,29,18,0,0,,67
daf-2,16,9,1,0,38,61,47,32,13,6,197
daf-2,17,9,1,0,37,71,56,39,13,9,225
daf-2,18,9,1,0,36,64,46,37,12,8,203
daf-16; daf-2,1,9,1,63,162,43,0,0,0,0,268
daf-16; daf-2,2,9,1,50,153,55,0,0,0,0,258
daf-16; daf-2,3,9,1,65,172,75,0,0,0,0,312
daf-16; daf-2,4,9,1,55,187,65,0,0,0,0,307
daf-16; daf-2,5,9,1,65,174,27,0,0,0,0,266
daf-16; daf-2,6,9,1,74,119,55,1,0,0,0,249
daf-16; daf-2,7,9,1,59,168,57,1,0,0,0,285
daf-16; daf-2,8,9,1,58,191,79,0,0,0,0,328
daf-16; daf-2,9,9,1,71,171,36,1,0,0,0,279
daf-16; daf-2,10,9,1,36,173,93,9,0,0,0,311
daf-16; daf-2,11,9,1,77,184,13,1,0,0,0,275
daf-16; daf-2,12,9,1,75,195,40,1,0,0,0,311
daf-16; daf-2,13,9,1,49,157,37,0,0,0,0,243
daf-16; daf-2,14,9,1,67,158,84,1,0,0,0,310
daf-16; daf-2,15,9,1,63,165,60,0,0,0,0,288
