Strain,day,replicate,pass,volume,length,middleWidth,meanWidth,surfaceArea,,,,,,,,,,
WT,1,7,TRUE,2717.324411,832.4204867,69.04742721,60.4874412,160703.023,,,,,,,,,,
WT,1,7,TRUE,2488.927147,885.9623512,69.89121527,56.79580846,160435.6768,,,,,,,,,,
WT,1,7,TRUE,3277.875028,901.4603803,75.27514256,65.47983369,184511.8174,,,,,,,,,,
WT,1,7,FALSE,1544.789035,787.0147325,56.26134302,47.23883715,117878.2711,,,,,,,,,,
WT,1,7,FALSE,231.7951271,343.7654202,25.00504134,24.80926047,29220.20667,,,,,,,,,,
WT,1,7,TRUE,1786.933723,825.5948412,59.30466272,48.043581,128961.046,,,,,,,,,,
WT,1,7,FALSE,640.7303056,551.0756598,36.4507983,34.73398328,63724.21618,,,,,,,,,,
WT,1,7,FALSE,15.89614299,80.10182769,0,9.318828703,3627.048229,,,,,,,,,,
WT,1,7,FALSE,1205.825682,678.3760817,45.07847935,43.79725682,96956.31915,,,,,,,,,,
WT,1,7,FALSE,10.25969928,84.30000456,13.97824305,7.914869338,2992.931123,,,,,,,,,,
WT,1,7,FALSE,0,37.72969371,0,0,0,,,,,,,,,,
WT,1,7,FALSE,63.17347294,102.5175122,35.36246859,18.7247276,8510.393736,,,,,,,,,,
WT,1,7,FALSE,6783.668924,580.3503442,61.56777412,93.53674013,221446.2473,,,,,,,,,,
WT,1,7,TRUE,2309.898252,819.4737026,69.04742721,54.19810828,144796.5824,,,,,,,,,,
WT,1,7,TRUE,1740.792669,822.561221,56.60756993,49.27100272,129126.3508,,,,,,,,,,
WT,1,7,TRUE,1742.574591,852.1166927,62.82438884,48.22540432,129520.422,,,,,,,,,,
WT,1,7,FALSE,44.35428166,77.29033918,27.95648611,16.87323198,6594.547272,,,,,,,,,,
WT,1,7,FALSE,14.78711288,90.86540656,25.77460666,9.569281831,3617.129749,,,,,,,,,,
WT,1,7,FALSE,746.5728484,674.0477831,50.39927207,32.70437434,71097.87013,,,,,,,,,,
WT,1,7,FALSE,1288.851221,758.2557777,41.93472916,43.38596639,106227.288,,,,,,,,,,
WT,1,7,FALSE,14.18748621,136.141039,12.50252067,8.258604136,4379.068746,,,,,,,,,,
WT,1,7,TRUE,1689.829638,910.8753825,62.82438884,43.33662208,125498.9698,,,,,,,,,,
WT,1,7,FALSE,1404.600954,702.7147279,63.75059687,46.57809365,104854.8772,,,,,,,,,,
WT,1,7,TRUE,1929.404197,879.6190809,53.77537473,50.18283499,137690.4524,,,,,,,,,,
WT,1,7,FALSE,53.76054122,112.6528078,36.4507983,16.92677499,7978.817186,,,,,,,,,,
WT,1,7,FALSE,178.033715,164.5858522,43.75882235,27.75806293,18921.04223,,,,,,,,,,
WT,1,7,FALSE,473.2135011,260.7600941,57.63377257,38.48781781,38775.61941,,,,,,,,,,
WT,1,7,FALSE,27.8134496,129.3535053,13.97824305,11.70132614,5932.461913,,,,,,,,,,
WT,1,7,FALSE,170.7016427,95.50784683,58.97427205,32.56240154,15525.92944,,,,,,,,,,
WT,1,7,FALSE,56.47655638,117.6093897,22.53923967,16.83195859,8694.696959,,,,,,,,,,
WT,1,7,FALSE,157.8003999,200.8368476,31.25630168,24.23128808,19406.79694,,,,,,,,,,
WT,1,7,FALSE,19.04304198,94.43530012,17.6812343,10.05511849,4377.36637,,,,,,,,,,
WT,1,7,FALSE,13.49177628,72.33375725,0,9.318828703,3147.384738,,,,,,,,,,
WT,1,7,FALSE,57.92002395,78.58501758,25.77460666,18.34569675,7773.707376,,,,,,,,,,
WT,1,7,FALSE,5.410530345,58.31442647,0,6.589406969,1755.758383,,,,,,,,,,
WT,1,7,FALSE,5.34E+07,3935.060585,4425.892317,4061.155841,8.63E+07,,,,,,,,,,
WT,1,7,FALSE,5.08E+07,3442.956499,5128.400022,4219.615829,1.06E+08,,,,,,,,,,
WT,1,7,FALSE,1.725088414,46.34817916,0,4.16750689,869.6572798,,,,,,,,,,
WT,1,7,FALSE,5.73E+07,1967.506613,7673.737164,5770.052395,1.25E+08,,,,,,,,,,
WT,1,7,FALSE,0,32.55098008,0,0,0,,,,,,,,,,
WT,1,7,FALSE,1.044029435,52.59943949,0,2.946872383,719.6660421,,,,,,,,,,
WT,1,7,TRUE,1229.857333,881.2660127,45.07847935,38.19282913,109425.0666,,,,,,,,,,
WT,1,7,FALSE,27.22370125,123.86065,13.97824305,11.25714073,5996.748602,,,,,,,,,,
WT,1,7,FALSE,32.23861788,185.7449701,22.53923967,11.36282668,7827.011197,,,,,,,,,,
WT,1,7,FALSE,15.87019473,67.37717532,0,10.41876723,3424.002016,,,,,,,,,,
WT,1,7,FALSE,158.7064738,258.7070106,18.75378101,22.95517466,21609.61454,,,,,,,,,,
WT,1,7,FALSE,16.6660417,57.24187977,0,11.78748953,3479.623973,,,,,,,,,,
WT,1,7,TRUE,1679.915755,749.5071705,58.97427205,49.65698665,119509.1634,,,,,,,,,,
WT,1,7,FALSE,959.3859863,666.907996,38.02493213,38.63426132,83050.49305,,,,,,,,,,
WT,1,7,TRUE,1767.206562,720.4879722,61.56777412,51.76133311,119841.821,,,,,,,,,,
WT,1,7,FALSE,12.81236941,144.1312411,17.6812343,8.1000189,4347.075925,,,,,,,,,,
WT,1,7,TRUE,783.9960419,813.3144523,40.02759657,32.18556403,84738.82633,,,,,,,,,,
WT,1,7,TRUE,1548.149793,843.2760755,56.26134302,45.7262935,120636.6465,,,,,,,,,,
WT,1,7,FALSE,1136.704552,766.9662731,56.60756993,39.18506119,96846.64207,,,,,,,,,,
WT,1,7,FALSE,82.54446458,124.6190551,17.6812343,18.99568641,10831.58755,,,,,,,,,,
WT,1,7,FALSE,2.298507144,48.40126262,0,4.659414352,1046.09293,,,,,,,,,,
WT,1,7,TRUE,1995.920713,841.6672555,59.30466272,50.96704695,138077.1158,,,,,,,,,,
WT,1,7,TRUE,2671.209388,815.3675357,83.40221537,60.20235715,156722.4604,,,,,,,,,,
WT,1,7,TRUE,2745.551777,885.8322294,71.2753341,57.82956536,162500.2971,,,,,,,,,,
WT,1,7,FALSE,29.47091941,76.75406582,0,13.34253219,5084.866368,,,,,,,,,,
WT,1,7,TRUE,1216.909896,895.11711,41.93472916,37.85223829,109027.1516,,,,,,,,,,
WT,1,7,TRUE,2132.805517,866.0440135,73.16912629,52.56874759,144234.5116,,,,,,,,,,
WT,1,7,TRUE,2075.228483,853.6335028,61.56777412,52.12508242,141800.4287,,,,,,,,,,
WT,1,7,TRUE,2863.898147,884.2615211,86.84528407,61.29494508,169330.9355,,,,,,,,,,
WT,1,7,TRUE,2139.793561,815.5896674,64.36066433,54.79125373,142097.2205,,,,,,,,,,
WT,1,7,FALSE,1634.902168,597.9220006,68.76386369,53.77868268,107418.4694,,,,,,,,,,
WT,1,7,TRUE,1261.500731,871.406747,59.30466272,40.200186,109822.5254,,,,,,,,,,
WT,1,7,FALSE,10636.76862,2026.744702,71.2753341,76.16321474,475317.7267,,,,,,,,,,
WT,1,7,TRUE,2273.734107,838.0973619,69.89121527,53.96732816,145767.9805,,,,,,,,,,
WT,1,7,FALSE,1496.809653,817.1984875,61.56777412,44.69108137,117379.7696,,,,,,,,,,
WT,1,7,TRUE,2808.465775,846.6032935,71.2753341,61.22413752,165499.6086,,,,,,,,,,
WT,1,7,FALSE,126.1028612,149.8462281,8.840617148,22.14164481,13546.37905,,,,,,,,,,
WT,1,7,FALSE,901.5824364,708.9659883,45.07847935,37.23493246,84175.09316,,,,,,,,,,
WT,1,7,FALSE,988.2498898,715.6234002,50.01008268,38.14283484,85675.82365,,,,,,,,,,
WT,1,7,FALSE,1031.92104,686.420182,50.01008268,41.29852861,89491.7016,,,,,,,,,,
WT,1,7,FALSE,26.92694142,66.84090196,0,13.34253219,4784.84637,,,,,,,,,,
WT,1,7,TRUE,2055.795977,840.7248305,57.63377257,52.04442204,139917.7947,,,,,,,,,,
WT,1,7,FALSE,1766.543304,688.4732655,62.51260335,53.09882969,117717.4361,,,,,,,,,,
WT,1,7,TRUE,1889.587142,809.7826705,53.04370289,50.95039194,132236.7687,,,,,,,,,,
WT,1,7,TRUE,1708.341854,834.7496,58.97427205,47.54656099,123205.2447,,,,,,,,,,
WT,1,7,FALSE,1.725088414,46.34817916,0,4.16750689,869.6572798,,,,,,,,,,
WT,1,7,FALSE,1103.235422,726.8693543,50.39927207,41.88809655,95010.28732,,,,,,,,,,
WT,1,7,FALSE,6.598847808,54.1162496,0,7.513079892,1959.021784,,,,,,,,,,
WT,1,7,TRUE,1599.66762,819.7878443,65.26507397,46.62800493,120894.197,,,,,,,,,,
WT,1,7,TRUE,1876.421133,886.6287462,69.89121527,48.42242626,137475.947,,,,,,,,,,
WT,1,7,TRUE,1962.366052,860.1068948,70.72493718,49.79205153,134411.9252,,,,,,,,,,
WT,1,7,TRUE,2374.921354,902.0347654,71.2753341,54.81926593,156817.6199,,,,,,,,,,
WT,1,7,FALSE,1434.571683,480.4427326,79.07288362,56.3947821,89930.35532,,,,,,,,,,
WT,1,7,TRUE,2604.737815,906.8993374,71.2753341,57.83483705,166290.6853,,,,,,,,,,
WT,1,7,TRUE,2112.639249,853.3193611,62.51260335,52.89444858,145760.0235,,,,,,,,,,
WT,1,7,TRUE,1884.075976,835.7301368,61.56777412,50.44164344,136008.5815,,,,,,,,,,
WT,1,7,FALSE,5871.259248,1623.817416,83.40221537,66.70368152,335442.5655,,,,,,,,,,
WT,1,7,TRUE,3020.089933,884.3535311,79.07288362,61.97419838,174352.5487,,,,,,,,,,
WT,1,7,TRUE,2896.019336,886.4066146,82.22249236,61.21756058,171247.6429,,,,,,,,,,
WT,1,7,TRUE,2702.690765,904.9382639,67.32813431,57.84299541,167414.0632,,,,,,,,,,
WT,1,7,TRUE,2818.268932,869.613907,70.72493718,60.56014935,168544.2468,,,,,,,,,,
WT,1,7,FALSE,423.8160536,315.1904853,53.41079172,35.93955528,38698.31297,,,,,,,,,,
WT,1,7,FALSE,28.3132328,92.91849002,27.95648611,13.24038186,5295.880689,,,,,,,,,,
WT,1,7,FALSE,1073.728544,523.6652816,58.97427205,47.28514695,82018.57319,,,,,,,,,,
WT,1,7,TRUE,1943.309274,890.160528,50.39927207,49.84084223,141032.5023,,,,,,,,,,
WT,1,7,FALSE,9.662397262,57.24187977,0,8.840617148,2476.844562,,,,,,,,,,
WT,1,7,FALSE,1925.425536,745.0868619,56.26134302,54.28143826,129797.0771,,,,,,,,,,
WT,1,7,TRUE,1922.801072,855.5564645,62.51260335,49.68502055,135838.6032,,,,,,,,,,
WT,1,7,FALSE,60.12926671,94.97157347,33.66406716,18.89969908,8109.922724,,,,,,,,,,
WT,1,7,FALSE,1226.945847,781.7058971,43.75882235,41.20067384,102999.3366,,,,,,,,,,
WT,1,7,FALSE,1391.906094,742.2753734,69.89121527,42.50503271,101915.147,,,,,,,,,,
WT,1,7,FALSE,1342.363411,750.8938589,48.82390401,43.79082793,104950.0015,,,,,,,,,,
WT,1,7,TRUE,2306.689335,883.9473795,69.89121527,55.23902065,153471.5529,,,,,,,,,,
WT,1,7,FALSE,4.364443974,77.06820748,8.840617148,5.335784455,1851.382828,,,,,,,,,,
WT,1,7,FALSE,54.3934146,72.11162555,39.53644181,19.39034349,7686.633732,,,,,,,,,,
WT,1,7,FALSE,30.8026026,75.23725572,25.77460666,14.41247627,5289.70906,,,,,,,,,,
WT,1,7,FALSE,26.43519091,71.5753522,0,13.17881394,4706.659977,,,,,,,,,,
WT,1,7,FALSE,12.33225105,68.44972203,0,9.318828703,2917.703877,,,,,,,,,,
WT,1,7,TRUE,1381.102058,857.6476597,27.95648611,42.58291088,114497.021,,,,,,,,,,
WT,1,7,FALSE,14078.23941,672.3469531,62.51260335,129.9594281,365684.558,,,,,,,,,,
WT,1,7,FALSE,543.6283626,348.2777388,25.77460666,38.69517636,46623.59013,,,,,,,,,,
WT,1,7,TRUE,1534.773914,876.7694806,62.51260335,44.44533766,122998.947,,,,,,,,,,
WT,1,7,TRUE,2582.978096,865.1554867,68.76386369,58.1650404,161665.7212,,,,,,,,,,
WT,1,7,FALSE,1663.040931,602.8961504,50.39927207,53.24870376,106871.0106,,,,,,,,,,
WT,1,7,FALSE,0,31.25630168,0,0,0,,,,,,,,,,
WT,1,7,FALSE,0.397807044,41.39159723,0,2.083753445,390.5296868,,,,,,,,,,
WT,1,7,TRUE,3641.903082,904.1798588,75.01512402,68.23330582,196714.1945,,,,,,,,,,
WT,1,7,FALSE,141.7712368,282.6395053,25.77460666,21.16135916,20203.05912,,,,,,,,,,
WT,1,7,FALSE,707.0572277,430.8769133,57.63377257,39.65563591,59056.33704,,,,,,,,,,
WT,1,7,FALSE,20.56464086,62.95686675,0,12.1502661,4011.636164,,,,,,,,,,
WT,1,7,FALSE,2336.119165,713.7004385,62.51260335,59.91180374,138964.0252,,,,,,,,,,
WT,1,7,FALSE,6.503445589,52.28529784,0,7.513079892,1939.457013,,,,,,,,,,
WT,1,7,FALSE,16404.17879,881.5009549,241.2209005,118.0734584,387068.763,,,,,,,,,,
WT,1,7,FALSE,1847.045567,574.3417594,81.26638436,58.30501318,108549.9345,,,,,,,,,,
WT,1,7,TRUE,2274.989679,829.1647348,67.61771902,55.91760823,146266.8766,,,,,,,,,,
WT,1,7,TRUE,2015.548917,827.0196414,71.2753341,52.53260307,138185.8404,,,,,,,,,,
WT,1,7,TRUE,1959.782832,846.4017057,48.82390401,51.93871717,136732.6929,,,,,,,,,,
WT,1,7,TRUE,1071.003757,798.5367164,31.25630168,37.62106439,96346.23109,,,,,,,,,,
WT,1,7,TRUE,1648.760084,809.430417,62.51260335,47.99954241,125233.6543,,,,,,,,,,
WT,1,7,FALSE,153.6550437,360.4661178,18.75378101,20.94596201,24637.37921,,,,,,,,,,
WT,1,7,FALSE,37.16970463,111.8944027,25.77460666,14.25772708,6450.057678,,,,,,,,,,
daf-2,1,7,TRUE,677.8453362,570.9019875,53.04370289,34.96551576,65584.07109,,,,,,,,,,
daf-2,1,7,FALSE,402.8939685,512.9017027,40.02759657,28.76641528,47840.86491,,,,,,,,,,
daf-2,1,7,FALSE,662.6932717,493.7036583,44.20308574,37.18134117,60273.51628,,,,,,,,,,
daf-2,1,7,TRUE,689.4309642,610.1103796,47.60818034,34.0391027,68031.44419,,,,,,,,,,
daf-2,1,7,TRUE,437.2294873,576.6169745,31.25630168,28.61368404,53632.21964,,,,,,,,,,
daf-2,1,7,TRUE,1129.602837,612.2935848,62.82438884,44.34058631,87735.95918,,,,,,,,,,
daf-2,1,7,FALSE,264.6742246,329.9682212,33.66406716,27.84221908,30719.26694,,,,,,,,,,
daf-2,1,7,FALSE,445.8333692,520.4476415,37.50756201,30.502003,50184.27183,,,,,,,,,,
daf-2,1,7,TRUE,792.2000836,582.9602448,50.01008268,38.67431169,71399.5905,,,,,,,,,,
daf-2,1,7,FALSE,344.1774743,210.8420214,53.41079172,37.88989911,29124.579,,,,,,,,,,
daf-2,1,7,FALSE,471.4540626,485.3993145,37.50756201,32.18081126,51010.10989,,,,,,,,,,
daf-2,1,7,TRUE,645.3165379,612.6997364,57.63377257,32.46154086,65205.96762,,,,,,,,,,
daf-2,1,7,TRUE,554.4759299,547.9119179,31.87529843,32.30224712,57474.37518,,,,,,,,,,
daf-2,1,7,TRUE,568.2306396,549.336718,41.93472916,32.79138286,58417.42403,,,,,,,,,,
daf-2,1,7,FALSE,453.1640356,514.1963811,41.93472916,30.66422309,50882.74039,,,,,,,,,,
daf-2,1,7,TRUE,746.4900159,592.7813987,50.39927207,36.75487891,70425.12627,,,,,,,,,,
daf-2,1,7,FALSE,240.272876,493.167385,25.77460666,22.57234034,36179.49317,,,,,,,,,,
daf-2,1,7,TRUE,739.8613245,573.7134761,45.07847935,38.029733,69212.20207,,,,,,,,,,
daf-2,1,7,TRUE,754.9023362,592.9654186,38.02493213,37.49411463,71247.9989,,,,,,,,,,
daf-2,1,7,TRUE,905.0498747,603.0087042,45.07847935,40.38573103,78020.23967,,,,,,,,,,
daf-2,1,7,TRUE,851.4933595,622.651012,53.77537473,37.97169712,76697.37446,,,,,,,,,,
daf-2,1,7,TRUE,860.6643019,615.7333566,50.39927207,39.22663628,77317.48227,,,,,,,,,,
daf-2,1,7,TRUE,889.3813396,599.3468007,53.77537473,40.59750459,78539.97983,,,,,,,,,,
daf-2,1,7,TRUE,473.5537781,510.3123459,40.02759657,31.23804236,51306.94704,,,,,,,,,,
daf-2,1,7,FALSE,7694.825085,833.5850434,176.0370894,84.15600619,297272.7694,,,,,,,,,,
daf-2,1,7,FALSE,40.86108939,84.61414622,44.20308574,17.30203177,6482.491126,,,,,,,,,,
daf-2,1,7,FALSE,35.89918296,212.6729731,13.97824305,11.67756678,9233.059238,,,,,,,,,,
daf-2,1,7,TRUE,495.5618921,636.9844845,39.53644181,28.1398757,56005.04909,,,,,,,,,,
daf-2,1,7,TRUE,713.7034826,623.9075787,44.20308574,34.78904607,69140.92575,,,,,,,,,,
